Calc. Date= 11-10-2019, Time= 00:15:11
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth, Y,Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle, this tilt is in Y direction)=
 =   Shown are: Ion Number, Energy (keV), X, Y, Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name, Mass,   Energy , Energy Interval
            O     018.00  130000keV    1000000eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 7.7984E+04  1.8064E+05  2.9327E+02 -1.5917E+03  3.2990E+02  6.1672E+00
0000001 7.6837E+04  1.8414E+05  3.6247E+02 -1.6418E+03  3.3204E+02  6.9713E+00
0000001 7.5881E+04  1.8702E+05  4.0910E+02 -1.6833E+03  3.3385E+02  5.4527E+00
0000001 7.4851E+04  1.8988E+05  4.4868E+02 -1.7210E+03  3.3583E+02  2.1467E+01
0000001 7.3936E+04  1.9272E+05  4.8671E+02 -1.7668E+03  3.3760E+02  4.4095E+00
0000001 7.2862E+04  1.9610E+05  5.2787E+02 -1.8294E+03  3.3971E+02  2.9374E+01
0000001 7.1820E+04  1.9889E+05  5.6094E+02 -1.8800E+03  3.4179E+02  3.7702E+01
0000001 7.0883E+04  2.0165E+05  5.9915E+02 -1.9374E+03  3.4368E+02  5.5425E+00
0000001 6.9925E+04  2.0439E+05  6.4516E+02 -1.9949E+03  3.4564E+02  3.0393E+01
0000001 6.8972E+04  2.0711E+05  7.0311E+02 -2.0656E+03  3.4761E+02  2.4326E+01
0000001 6.7848E+04  2.1034E+05  7.7572E+02 -2.1529E+03  3.4998E+02  9.0887E+00
0000001 6.6853E+04  2.1301E+05  8.3436E+02 -2.2269E+03  3.5210E+02  8.5287E+00
0000001 6.5922E+04  2.1565E+05  8.9239E+02 -2.2835E+03  3.5410E+02  5.1926E+00
0000001 6.4946E+04  2.1827E+05  9.3707E+02 -2.3420E+03  3.5623E+02  1.0347E+03
0000001 6.3816E+04  2.2138E+05  9.7625E+02 -2.3727E+03  3.5874E+02  8.3333E+00
0000001 6.2969E+04  2.2395E+05  1.0272E+03 -2.3887E+03  3.6064E+02  5.8274E+00
0000001 6.1862E+04  2.2700E+05  1.0917E+03 -2.4097E+03  3.6316E+02  6.0965E+00
0000001 6.0950E+04  2.2952E+05  1.1470E+03 -2.4295E+03  3.6526E+02  2.9645E+01
0000001 5.9890E+04  2.3251E+05  1.2252E+03 -2.4503E+03  3.6773E+02  3.2676E+01
0000001 5.8813E+04  2.3547E+05  1.3185E+03 -2.4519E+03  3.7028E+02  5.4394E+00
0000001 5.7884E+04  2.3791E+05  1.3936E+03 -2.4545E+03  3.7250E+02  5.9192E+01
0000001 5.6884E+04  2.4080E+05  1.4963E+03 -2.4510E+03  3.7493E+02  6.6270E+00
0000001 5.5974E+04  2.4319E+05  1.5752E+03 -2.4471E+03  3.7716E+02  3.5299E+01
0000001 5.4934E+04  2.4602E+05  1.6667E+03 -2.4692E+03  3.7974E+02  5.8103E+01
0000001 5.3867E+04  2.4883E+05  1.7593E+03 -2.4915E+03  3.8243E+02  6.3307E+01
0000001 5.2972E+04  2.5114E+05  1.8383E+03 -2.5217E+03  3.8470E+02  1.0111E+01
0000001 5.1955E+04  2.5388E+05  1.9241E+03 -2.5511E+03  3.8732E+02  5.7797E+00
0000001 5.0938E+04  2.5658E+05  2.0057E+03 -2.5767E+03  3.8997E+02  9.7653E+00
0000001 4.9957E+04  2.5926E+05  2.0853E+03 -2.6068E+03  3.9255E+02  8.8785E+00
0000001 4.8935E+04  2.6190E+05  2.1734E+03 -2.6328E+03  3.9527E+02  1.1946E+02
0000001 4.7986E+04  2.6451E+05  2.2613E+03 -2.6737E+03  3.9782E+02  2.0612E+01
0000001 4.6857E+04  2.6752E+05  2.3648E+03 -2.7206E+03  4.0088E+02  4.8158E+00
0000001 4.5973E+04  2.6963E+05  2.4403E+03 -2.7686E+03  4.0330E+02  5.9422E+00
0000001 4.4914E+04  2.7214E+05  2.5306E+03 -2.8329E+03  4.0623E+02  3.5706E+01
0000001 4.3935E+04  2.7462E+05  2.6285E+03 -2.8847E+03  4.0895E+02  1.2873E+01
0000001 4.2930E+04  2.7706E+05  2.7186E+03 -2.9225E+03  4.1186E+02  1.2052E+01
0000001 4.1942E+04  2.7947E+05  2.8031E+03 -2.9533E+03  4.1491E+02  1.3472E+01
0000001 4.0986E+04  2.8184E+05  2.8870E+03 -2.9794E+03  4.1773E+02  4.3135E+00
0000001 3.9864E+04  2.8457E+05  2.9822E+03 -3.0135E+03  4.2086E+02  6.2256E+01
0000001 3.8993E+04  2.8649E+05  3.0518E+03 -3.0432E+03  4.2314E+02  8.7521E+01
0000001 3.7869E+04  2.8913E+05  3.1568E+03 -3.0847E+03  4.2589E+02  5.4804E+00
0000001 3.6913E+04  2.9136E+05  3.2454E+03 -3.1052E+03  4.2803E+02  3.7499E+01
0000001 3.5984E+04  2.9356E+05  3.3354E+03 -3.1222E+03  4.3010E+02  8.5013E+00
0000001 3.4967E+04  2.9572E+05  3.4004E+03 -3.1404E+03  4.3295E+02  3.4006E+01
0000001 3.3867E+04  2.9820E+05  3.4518E+03 -3.1557E+03  4.3619E+02  1.9954E+02
