Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 33844 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	4n	5n	6n	7n	2n	8n	9n	
64.14100	30.70100	5.86190E-2	3.61181E-2	2.25009E-2	3.50668E-2	1.95720E-4	0.0	0.0	0.0	7.36115E-4	0.0	0.0
65.14320	31.70320	0.29592E+0	0.16937E+0	0.12655E+0	0.16175E+0	4.80915E-3	0.0	0.0	0.0	1.97613E-3	0.0	0.0
66.14540	32.70540	1.19755E+0	0.60178E+0	0.59576E+0	0.54619E+0	4.74151E-2	0.0	0.0	0.0	4.56458E-3	0.0	0.0
67.14770	33.70770	3.48340E+0	1.47863E+0	2.00478E+0	1.21421E+0	0.24527E+0	0.0	0.0	0.0	7.20477E-3	0.0	0.0
68.14990	34.70990	7.59250E+0	2.52403E+0	5.06847E+0	1.82006E+0	0.67166E+0	0.0	0.0	0.0	8.07617E-3	0.0	0.0
69.15210	35.71210	1.37137E+1	3.65736E+0	1.00563E+1	2.18080E+0	1.43239E+0	0.0	0.0	0.0	6.07804E-3	0.0	0.0
70.15430	36.71430	2.19234E+1	4.76181E+0	1.71616E+1	2.25297E+0	2.44212E+0	0.0	0.0	0.0	4.53444E-3	0.0	0.0
71.15650	37.71650	3.24358E+1	5.82990E+0	2.66059E+1	2.02125E+0	3.72335E+0	0.0	0.0	0.0	9.58391E-4	0.0	0.0
72.15870	38.71870	4.57602E+1	7.15391E+0	3.86063E+1	1.77259E+0	5.27856E+0	0.0	0.0	0.0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	9.24422E+0	5.43713E+1	1.60712E+0	7.48109E+0	7.51868E-3	0.0	0.0	3.75934E-3	0.0	0.0
74.16320	40.72320	8.98311E+1	1.27007E+1	7.71304E+1	1.58725E+0	1.07392E+1	0.10617E+0	0.0	0.0	0.0	0.0	0.0
75.16540	41.72540	1.28153E+2	1.82892E+1	1.09864E+2	1.49948E+0	1.59188E+1	0.42409E+0	0.0	0.0	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	2.23937E+1	1.52720E+2	1.26767E+0	1.91288E+1	1.34010E+0	0.0	0.0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	2.25959E+1	2.01929E+2	0.94867E+0	1.82107E+1	2.71999E+0	0.0	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	2.29440E+1	2.50574E+2	0.58188E+0	1.72464E+1	4.42878E+0	0.0	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	2.12870E+1	3.00051E+2	0.43675E+0	1.40711E+1	5.82024E+0	0.0	0.0	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	2.01187E+1	3.47734E+2	0.27172E+0	1.16734E+1	7.26053E+0	0.0	0.0	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	1.70139E+1	3.96056E+2	0.14646E+0	8.34829E+0	7.67701E+0	0.0	0.0	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	1.67450E+1	4.40285E+2	0.13504E+0	6.50894E+0	9.03419E+0	0.0	0.0	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	1.47966E+1	4.84981E+2	8.86027E-2	4.96175E+0	8.88980E+0	1.47671E-2	0.0	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	1.30845E+1	5.28274E+2	0.0	3.19914E+0	8.92560E+0	3.19914E-2	0.0	0.0	0.0	0.0
85.18760	51.74760	5.81813E+2	1.15696E+1	5.70244E+2	6.87641E-2	2.14888E+0	8.38922E+0	0.12033E+0	0.0	0.0	0.0	0.0
86.18980	52.74980	6.21183E+2	1.13430E+1	6.09840E+2	5.50629E-2	2.00062E+0	8.14931E+0	0.16518E+0	0.0	0.0	0.0	0.0
87.19200	53.75200	6.59506E+2	1.08541E+1	6.48652E+2	0.0	1.42253E+0	8.08696E+0	0.29230E+0	0.0	0.0	0.0	0.0
88.19420	54.75420	6.96820E+2	1.00887E+1	6.86732E+2	0.0	0.84415E+0	7.26798E+0	0.78238E+0	0.0	0.0	0.0	0.0
89.19650	55.75650	7.33161E+2	9.55336E+0	7.23607E+2	0.0	0.82319E+0	6.45556E+0	0.88818E+0	0.0	0.0	0.0	0.0
90.19870	56.75870	7.68560E+2	8.85648E+0	7.59704E+2	0.0	0.43146E+0	5.47285E+0	1.52150E+0	0.0	0.0	0.0	0.0
91.20090	57.76090	8.03051E+2	8.28108E+0	7.94770E+2	0.0	0.37964E+0	5.29135E+0	1.51859E+0	0.0	0.0	0.0	0.0
92.20310	58.76310	8.36664E+2	7.31747E+0	8.29347E+2	0.0	0.29665E+0	3.75762E+0	1.82937E+0	0.0	0.0	0.0	0.0
93.20530	59.76530	8.69429E+2	7.09024E+0	8.62338E+2	0.0	0.23120E+0	3.62219E+0	2.10652E+0	0.0	0.0	0.0	0.0
94.20760	60.76760	9.01373E+2	6.68493E+0	8.94688E+2	0.0	2.66332E-2	2.68995E+0	2.50352E+0	0.0	0.0	0.0	0.0
95.20980	61.76980	9.32524E+2	6.44753E+0	9.26076E+2	0.0	2.75536E-2	2.17673E+0	2.70025E+0	2.75536E-2	0.0	0.0	0.0
96.21200	62.77200	9.62907E+2	6.08859E+0	9.56819E+2	0.0	5.69027E-2	2.33301E+0	2.27611E+0	2.84513E-2	0.0	0.0	0.0
97.21420	63.77420	9.92547E+2	6.01206E+0	9.86535E+2	0.0	2.93271E-2	1.49568E+0	2.90339E+0	0.11730E+0	0.0	0.0	0.0
98.21640	64.77640	1.02147E+3	5.07051E+0	1.01640E+3	0.0	3.01816E-2	1.29781E+0	2.44471E+0	0.18109E+0	0.0	0.0	0.0
99.21870	65.77870	1.04969E+3	5.17960E+0	1.04451E+3	0.0	0.0	1.05453E+0	2.45023E+0	0.27914E+0	0.0	0.0	0.0
100.22100	66.78100	1.07724E+3	4.99726E+0	1.07225E+3	0.0	0.0	1.11404E+0	2.19625E+0	0.31829E+0	0.0	0.0	0.0
101.22300	67.78300	1.10415E+3	4.30646E+0	1.09984E+3	0.0	3.26246E-2	0.55461E+0	2.15323E+0	0.32624E+0	0.0	0.0	0.0
102.22500	68.78500	1.13043E+3	4.07496E+0	1.12636E+3	0.0	3.34013E-2	0.70142E+0	1.60326E+0	0.36741E+0	0.0	0.0	0.0
103.22800	69.78800	1.15612E+3	4.30418E+0	1.15181E+3	0.0	6.83203E-2	0.20496E+0	1.94713E+0	0.34160E+0	0.0	0.0	0.0
104.23000	70.79000	1.18119E+3	3.97873E+0	1.17721E+3	0.0	0.0	0.34901E+0	1.50075E+0	0.45371E+0	0.0	0.0	0.0
105.23200	71.79200	1.20564E+3	3.41986E+0	1.20223E+3	0.0	0.0	0.21374E+0	1.03308E+0	0.64122E+0	0.0	0.0	0.0
106.23400	72.79400	1.22949E+3	3.30587E+0	1.22619E+3	0.0	0.0	0.32695E+0	0.90820E+0	0.72656E+0	0.0	0.0	0.0
107.23600	73.79600	1.25283E+3	3.59072E+0	1.24924E+3	0.0	0.0	0.25912E+0	0.85140E+0	0.70333E+0	0.0	0.0	0.0
108.23900	74.79900	1.27575E+3	3.24177E+0	1.27251E+3	0.0	0.0	0.0	0.98007E+0	0.64081E+0	0.0	0.0	0.0
109.24100	75.80100	1.29820E+3	2.80016E+0	1.29540E+3	0.0	0.0	3.83584E-2	0.72881E+0	0.80552E+0	0.0	0.0	0.0
110.24300	76.80300	1.32000E+3	3.58823E+0	1.31641E+3	0.0	0.0	3.90025E-2	0.74104E+0	0.85805E+0	0.0	0.0	0.0
111.24500	77.80500	1.34120E+3	2.89289E+0	1.33830E+3	0.0	0.0	0.0	0.43591E+0	1.14923E+0	0.0	0.0	0.0
112.24800	78.80800	1.36210E+3	2.53552E+0	1.35957E+3	0.0	0.0	0.0	0.36221E+0	0.60369E+0	0.0	4.02465E-2	0.0
113.25000	79.81000	1.38270E+3	2.85986E+0	1.37984E+3	0.0	0.0	0.0	0.32684E+0	0.98052E+0	0.0	0.12256E+0	0.0
114.25200	80.81200	1.40263E+3	2.94251E+0	1.39968E+3	0.0	0.0	4.14439E-2	0.33155E+0	0.62165E+0	0.0	0.20721E+0	0.0
115.25400	81.81400	1.42205E+3	2.43703E+0	1.41961E+3	0.0	0.0	0.0	0.21008E+0	0.67228E+0	0.0	8.40354E-2	0.0
116.25600	82.81600	1.44132E+3	2.25712E+0	1.43906E+3	0.0	0.0	4.25871E-2	0.17034E+0	0.68139E+0	0.0	0.17034E+0	0.0
117.25900	83.81900	1.46001E+3	1.94127E+0	1.45807E+3	0.0	0.0	0.0	4.31393E-2	0.56081E+0	0.0	8.62787E-2	0.0
118.26100	84.82100	1.47822E+3	3.23213E+0	1.47499E+3	0.0	0.0	0.0	8.73548E-2	0.74251E+0	0.0	0.21838E+0	0.0
119.26300	85.82300	1.49642E+3	2.56449E+0	1.49386E+3	0.0	0.0	0.0	0.0	0.53058E+0	0.0	0.26529E+0	0.0
120.26500	86.82500	1.51377E+3	2.41530E+0	1.51135E+3	0.0	0.0	0.0	8.94556E-2	0.53673E+0	0.0	0.17891E+0	0.0
121.26700	87.82700	1.53079E+3	1.89970E+0	1.52889E+3	0.0	0.0	0.0	0.0	0.22615E+0	0.0	0.40707E+0	0.0
