Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 10529 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	2n	3n	4n	5n	6n	7n	8n	9n	
64.14100	30.70100	5.86190E-2	5.52675E-2	3.35157E-3	6.88129E-3	4.37263E-2	8.90782E-5	0.0	0.0	0.0	0.0	0.0
65.14320	31.70320	0.29592E+0	0.27870E+0	1.72290E-2	2.48177E-2	0.22819E+0	1.79879E-3	0.0	0.0	0.0	0.0	0.0
66.14540	32.70540	1.19755E+0	1.11020E+0	8.73509E-2	7.21100E-2	0.91400E+0	2.17240E-2	0.0	0.0	0.0	0.0	0.0
67.14770	33.70770	3.48340E+0	3.14230E+0	0.34109E+0	0.16178E+0	2.54944E+0	0.11612E+0	0.0	0.0	0.0	0.0	0.0
68.14990	34.70990	7.59250E+0	6.63775E+0	0.95474E+0	0.28411E+0	5.22295E+0	0.41968E+0	0.0	0.0	0.0	0.0	0.0
69.15210	35.71210	1.37137E+1	1.14096E+1	2.30407E+0	0.35427E+0	8.56112E+0	1.10189E+0	0.0	0.0	0.0	0.0	0.0
70.15430	36.71430	2.19234E+1	1.76445E+1	4.27890E+0	0.47265E+0	1.24848E+1	2.35496E+0	0.0	0.0	0.0	0.0	0.0
71.15650	37.71650	3.24358E+1	2.47065E+1	7.72926E+0	0.59763E+0	1.63211E+1	4.36523E+0	0.0	0.0	0.0	0.0	0.0
72.15870	38.71870	4.57602E+1	3.38649E+1	1.18953E+1	0.73014E+0	1.99878E+1	7.90557E+0	0.0	0.0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	4.46621E+1	1.89536E+1	0.56794E+0	2.26029E+1	1.39992E+1	0.0	0.0	0.0	0.0	0.0
74.16320	40.72320	8.98311E+1	6.29305E+1	2.69007E+1	0.69107E+0	2.67642E+1	2.38805E+1	1.70636E-2	0.0	0.0	0.0	0.0
75.16540	41.72540	1.28153E+2	8.86931E+1	3.94597E+1	0.59639E+0	2.97956E+1	4.05308E+1	0.27994E+0	0.0	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	1.19914E+2	5.52002E+1	0.59873E+0	3.47933E+1	5.97406E+1	0.79831E+0	0.0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	1.54304E+2	7.02214E+1	0.57576E+0	3.57824E+1	8.21418E+1	2.53761E+0	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	1.85454E+2	8.80639E+1	0.51955E+0	3.59789E+1	1.03858E+2	4.02652E+0	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	2.07806E+2	1.13532E+2	0.27467E+0	3.50667E+1	1.14051E+2	7.26361E+0	0.0	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	2.29153E+2	1.38700E+2	0.24455E+0	3.02904E+1	1.30665E+2	1.18786E+1	0.0	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	2.44216E+2	1.68853E+2	0.23539E+0	2.69129E+1	1.32524E+2	1.76542E+1	0.0	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	2.63740E+2	1.93290E+2	4.34068E-2	2.45682E+1	1.37730E+2	2.61309E+1	0.0	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	2.67666E+2	2.32113E+2	0.28480E+0	2.21195E+1	1.33477E+2	3.24198E+1	4.74668E-2	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	2.69676E+2	2.71682E+2	0.10283E+0	1.63503E+1	1.26483E+2	4.05158E+1	0.0	0.0	0.0	0.0
85.18760	51.74760	5.81813E+2	2.69108E+2	3.12706E+2	0.11051E+0	1.17700E+1	1.12506E+2	5.08375E+1	0.0	0.0	0.0	0.0
86.18980	52.74980	6.21183E+2	2.71093E+2	3.50090E+2	0.11799E+0	9.14459E+0	1.06903E+2	5.89973E+1	5.89973E-2	0.0	0.0	0.0
87.19200	53.75200	6.59506E+2	2.69528E+2	3.89979E+2	0.0	6.45162E+0	9.78392E+1	6.94646E+1	0.37582E+0	0.0	0.0	0.0
88.19420	54.75420	6.96820E+2	2.68828E+2	4.27993E+2	0.0	6.75047E+0	8.59692E+1	7.80275E+1	0.39708E+0	0.0	0.0	0.0
89.19650	55.75650	7.33161E+2	2.69339E+2	4.63822E+2	0.0	4.38685E+0	7.50638E+1	8.74584E+1	1.11412E+0	0.0	0.0	0.0
90.19870	56.75870	7.68560E+2	2.68985E+2	4.99575E+2	0.0	2.48182E+0	6.54032E+1	8.83965E+1	2.48182E+0	0.0	0.0	0.0
91.20090	57.76090	8.03051E+2	2.63133E+2	5.39918E+2	0.0	3.43217E+0	5.33893E+1	9.38889E+1	3.50844E+0	0.0	0.0	0.0
92.20310	58.76310	8.36664E+2	2.63658E+2	5.73007E+2	0.0	1.98657E+0	4.60090E+1	9.62295E+1	4.29099E+0	0.0	0.0	0.0
93.20530	59.76530	8.69429E+2	2.63578E+2	6.05850E+2	0.0	1.81664E+0	3.79843E+1	9.88419E+1	6.19310E+0	0.0	0.0	0.0
94.20760	60.76760	9.01373E+2	2.58966E+2	6.42407E+2	0.0	1.45535E+0	3.16752E+1	9.51111E+1	9.24573E+0	0.0	0.0	0.0
95.20980	61.76980	9.32524E+2	2.52416E+2	6.80107E+2	0.0	0.70853E+0	2.47102E+1	9.24641E+1	1.22223E+1	0.0	0.0	0.0
96.21200	62.77200	9.62907E+2	2.56983E+2	7.05925E+2	0.0	0.36581E+0	2.14914E+1	8.90751E+1	1.40837E+1	0.0	0.0	0.0
97.21420	63.77420	9.92547E+2	2.52544E+2	7.40003E+2	0.0	0.56560E+0	1.82880E+1	8.26730E+1	2.13988E+1	0.0	0.0	0.0
98.21640	64.77640	1.02147E+3	2.44283E+2	7.77185E+2	0.0	0.67910E+0	1.55223E+1	7.44103E+1	2.14402E+1	0.19402E+0	0.0	0.0
