Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 212 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	5n	4n	6n	7n	8n	2n	
64.14100	30.70100	5.86190E-2	4.09227E-2	1.76963E-2	3.98167E-2	0.0	8.29514E-4	0.0	0.0	0.0	2.76505E-4
65.14320	31.70320	0.29592E+0	0.21217E+0	8.37530E-2	0.19961E+0	0.0	1.25630E-2	0.0	0.0	0.0	0.0
66.14540	32.70540	1.19755E+0	0.65526E+0	0.54229E+0	0.57617E+0	0.0	7.34346E-2	0.0	0.0	0.0	0.0
67.14770	33.70770	3.48340E+0	1.80742E+0	1.67598E+0	1.36378E+0	0.0	0.42721E+0	0.0	0.0	0.0	0.0
68.14990	34.70990	7.59250E+0	3.15160E+0	4.44090E+0	1.71906E+0	0.0	1.39673E+0	0.0	0.0	0.0	0.0
69.15210	35.71210	1.37137E+1	4.07529E+0	9.63841E+0	1.81124E+0	0.0	2.26405E+0	0.0	0.0	0.0	0.0
70.15430	36.71430	2.19234E+1	7.03203E+0	1.48914E+1	2.27507E+0	0.0	4.65355E+0	0.0	0.0	0.0	0.0
71.15650	37.71650	3.24358E+1	6.73196E+0	2.57038E+1	1.68299E+0	0.0	5.04897E+0	0.0	0.0	0.0	0.0
72.15870	38.71870	4.57602E+1	1.07925E+1	3.49677E+1	1.94265E+0	0.0	8.63400E+0	0.0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	1.26031E+1	5.10124E+1	0.60014E+0	0.0	1.17029E+1	0.0	0.0	0.0	0.0
74.16320	40.72320	8.98311E+1	1.82205E+1	7.16106E+1	0.84746E+0	0.0	1.69493E+1	0.0	0.0	0.0	0.0
75.16540	41.72540	1.28153E+2	2.78067E+1	1.00346E+2	0.0	1.20899E+0	2.65978E+1	0.0	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	4.29525E+1	1.32161E+2	0.0	9.08610E+0	3.30404E+1	0.0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	3.38905E+1	1.90634E+2	0.0	5.29540E+0	2.75361E+1	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	4.51562E+1	2.28362E+2	0.0	1.29018E+1	3.22544E+1	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	4.09252E+1	2.80412E+2	1.51575E+0	2.12205E+1	1.66732E+1	0.0	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	3.99084E+1	3.27944E+2	0.0	2.42921E+1	1.38812E+1	0.0	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	5.45564E+1	3.58513E+2	0.0	3.31235E+1	2.14329E+1	0.0	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	3.66486E+1	4.20381E+2	0.0	1.94022E+1	1.50906E+1	0.0	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	3.06468E+1	4.69131E+2	0.0	2.12170E+1	9.42977E+0	0.0	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	2.80893E+1	5.13268E+2	0.0	1.78750E+1	1.02143E+1	0.0	0.0	0.0	0.0
85.18760	51.74760	5.81813E+2	3.01884E+1	5.51624E+2	0.0	3.01884E+1	0.0	0.0	0.0	0.0	0.0
86.18980	52.74980	6.21183E+2	4.98118E+1	5.71371E+2	0.0	4.10215E+1	0.0	0.0	0.0	0.0	0.0
87.19200	53.75200	6.59506E+2	2.79979E+1	6.31508E+2	0.0	2.48870E+1	3.11088E+0	0.0	0.0	0.0	0.0
88.19420	54.75420	6.96820E+2	1.31475E+1	6.83672E+2	0.0	6.57378E+0	3.28689E+0	3.28689E+0	0.0	0.0	0.0
89.19650	55.75650	7.33161E+2	2.76664E+1	7.05494E+2	0.0	1.38332E+1	0.0	3.45830E+0	0.0	0.0	0.0
90.19870	56.75870	7.68560E+2	1.45011E+1	7.54059E+2	0.0	7.25057E+0	0.0	0.0	0.0	0.0	0.0
91.20090	57.76090	8.03051E+2	4.16677E+1	7.61383E+2	0.0	2.65159E+1	3.78798E+0	1.13639E+1	0.0	0.0	0.0
92.20310	58.76310	8.36664E+2	2.36791E+1	8.12985E+2	0.0	7.89306E+0	0.0	1.18396E+1	0.0	0.0	0.0
93.20530	59.76530	8.69429E+2	3.28085E+1	8.36620E+2	0.0	1.64043E+1	0.0	1.23032E+1	0.0	0.0	0.0
94.20760	60.76760	9.01373E+2	1.27552E+1	8.88618E+2	0.0	4.25176E+0	0.0	8.50352E+0	0.0	0.0	0.0
95.20980	61.76980	9.32524E+2	3.07909E+1	9.01733E+2	0.0	1.31961E+1	0.0	1.75948E+1	0.0	0.0	0.0
96.21200	62.77200	9.62907E+2	2.72520E+1	9.35655E+2	0.0	4.54201E+0	0.0	1.36260E+1	0.0	0.0	0.0
97.21420	63.77420	9.92547E+2	2.80910E+1	9.64456E+2	0.0	4.68183E+0	0.0	1.87273E+1	0.0	0.0	0.0
98.21640	64.77640	1.02147E+3	2.89095E+1	9.92561E+2	0.0	0.0	0.0	2.89095E+1	0.0	0.0	0.0
99.21870	65.77870	1.04969E+3	3.46596E+1	1.01503E+3	0.0	1.48541E+1	0.0	1.48541E+1	4.95137E+0	0.0	0.0
100.22100	66.78100	1.07724E+3	3.04880E+1	1.04675E+3	0.0	5.08133E+0	0.0	1.01627E+1	1.01627E+1	0.0	0.0
