Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 9145 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	4n	6n	3n	7n	5n	8n	2n	9n	
64.14100	30.70100	5.86190E-2	5.29975E-2	5.62153E-3	1.66659E-4	0.0	4.91451E-2	0.0	0.0	0.0	2.66013E-3	0.0
65.14320	31.70320	0.29592E+0	0.26567E+0	3.02563E-2	4.82159E-3	0.0	0.24648E+0	0.0	0.0	0.0	8.86655E-3	0.0
66.14540	32.70540	1.19755E+0	1.02640E+0	0.17115E+0	4.96305E-2	0.0	0.93564E+0	0.0	0.0	0.0	2.08212E-2	0.0
67.14770	33.70770	3.48340E+0	2.83014E+0	0.65325E+0	0.26815E+0	0.0	2.45076E+0	0.0	0.0	0.0	4.03762E-2	0.0
68.14990	34.70990	7.59250E+0	5.69625E+0	1.89626E+0	0.83023E+0	0.0	4.65098E+0	0.0	0.0	0.0	5.31350E-2	0.0
69.15210	35.71210	1.37137E+1	9.22843E+0	4.48525E+0	2.17739E+0	0.0	6.68364E+0	0.0	0.0	0.0	6.89808E-2	0.0
70.15430	36.71430	2.19234E+1	1.33218E+1	8.60154E+0	4.42303E+0	0.0	8.27550E+0	0.0	0.0	0.0	9.34950E-2	0.0
71.15650	37.71650	3.24358E+1	1.77093E+1	1.47264E+1	7.63988E+0	0.0	9.16856E+0	0.0	0.0	0.0	5.32025E-2	0.0
72.15870	38.71870	4.57602E+1	2.32629E+1	2.24973E+1	1.24746E+1	0.0	9.60738E+0	0.0	0.0	0.0	6.00462E-2	0.0
73.16100	39.72100	6.36156E+1	3.13938E+1	3.22217E+1	2.00272E+1	0.0	9.61364E+0	0.0	6.95632E-3	0.0	4.86942E-2	0.0
74.16320	40.72320	8.98311E+1	4.54902E+1	4.43409E+1	3.27105E+1	0.0	1.01766E+1	0.0	0.16699E+0	0.0	4.91149E-2	0.0
75.16540	41.72540	1.28153E+2	6.55548E+1	6.25980E+1	5.01821E+1	0.0	1.04540E+1	0.0	0.86883E+0	0.0	8.40806E-2	0.0
76.16760	42.72760	1.75114E+2	9.12622E+1	8.38517E+1	7.21136E+1	0.0	1.06658E+1	0.0	2.58506E+0	0.0	5.74458E-2	0.0
77.16980	43.72980	2.24525E+2	1.13159E+2	1.11366E+2	8.91717E+1	0.0	1.00171E+1	0.0	6.45709E+0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	1.32198E+2	1.41320E+2	1.01930E+2	0.0	8.22497E+0	0.0	1.20533E+1	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	1.36722E+2	1.84616E+2	9.76840E+1	0.0	7.76553E+0	0.0	1.97476E+1	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	1.42958E+2	2.24895E+2	9.57341E+1	0.0	6.35546E+0	0.0	2.90420E+1	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	1.40159E+2	2.72910E+2	8.59564E+1	0.0	3.38767E+0	0.0	3.73547E+1	0.0	4.51689E-2	0.0
82.18090	48.74090	4.57030E+2	1.37334E+2	3.19696E+2	7.11157E+1	0.0	2.79865E+0	0.0	4.81268E+1	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	1.33128E+2	3.66650E+2	6.09899E+1	5.46504E-2	1.42091E+0	0.0	5.45958E+1	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	1.38699E+2	4.02659E+2	5.42246E+1	0.17759E+0	1.71672E+0	0.0	6.53537E+1	0.0	0.0	0.0
