Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 22408 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	4n	5n	7n	6n	2n	9n	8n	
64.14100	30.70100	5.86190E-2	3.26736E-2	2.59453E-2	3.16220E-2	2.17127E-4	0.0	0.0	0.0	6.56612E-4	0.0	0.0
65.14320	31.70320	0.29592E+0	0.15181E+0	0.14412E+0	0.14421E+0	4.47697E-3	0.0	0.0	0.0	1.98096E-3	0.0	0.0
66.14540	32.70540	1.19755E+0	0.53101E+0	0.66654E+0	0.48114E+0	4.14183E-2	0.0	0.0	0.0	4.16855E-3	0.0	0.0
67.14770	33.70770	3.48340E+0	1.23881E+0	2.24459E+0	1.02351E+0	0.19587E+0	0.0	0.0	0.0	6.99541E-3	0.0	0.0
68.14990	34.70990	7.59250E+0	2.11226E+0	5.48023E+0	1.53151E+0	0.54958E+0	0.0	0.0	0.0	6.43777E-3	0.0	0.0
69.15210	35.71210	1.37137E+1	2.96758E+0	1.07461E+1	1.79316E+0	1.13036E+0	0.0	0.0	0.0	4.28400E-3	0.0	0.0
70.15430	36.71430	2.19234E+1	3.84207E+0	1.80813E+1	1.78749E+0	2.00175E+0	0.0	0.0	0.0	1.95674E-3	0.0	0.0
71.15650	37.71650	3.24358E+1	4.76375E+0	2.76720E+1	1.67911E+0	2.99779E+0	0.0	0.0	0.0	0.0	0.0	0.0
72.15870	38.71870	4.57602E+1	5.36673E+0	4.03934E+1	1.32943E+0	3.94132E+0	0.0	0.0	0.0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	6.91004E+0	5.67055E+1	1.23211E+0	5.52179E+0	1.13559E-2	0.0	0.0	0.0	0.0	0.0
74.16320	40.72320	8.98311E+1	9.55318E+0	8.02779E+1	1.19866E+0	7.99773E+0	7.61688E-2	0.0	0.0	0.0	0.0	0.0
75.16540	41.72540	1.28153E+2	1.39774E+1	1.14175E+2	1.24104E+0	1.20844E+1	0.27451E+0	0.0	0.0	5.71907E-3	0.0	0.0
76.16760	42.72760	1.75114E+2	1.65049E+1	1.58609E+2	0.95340E+0	1.39807E+1	1.05500E+0	0.0	0.0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	1.60618E+1	2.08463E+2	0.65129E+0	1.29657E+1	1.77352E+0	0.0	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	1.52944E+1	2.58223E+2	0.34177E+0	1.16081E+1	2.74641E+0	0.0	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	1.44120E+1	3.06926E+2	0.22944E+0	9.90917E+0	3.59942E+0	0.0	0.0	0.0	0.0	0.0
