Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 7174 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	4n	6n	7n	5n	2n	8n	9n	
64.14100	30.70100	5.86190E-2	5.01048E-2	8.51422E-3	4.56924E-2	1.87934E-4	0.0	0.0	0.0	2.96609E-3	0.0	0.0
65.14320	31.70320	0.29592E+0	0.24961E+0	4.63240E-2	0.22794E+0	5.07378E-3	0.0	0.0	0.0	1.04363E-2	0.0	0.0
66.14540	32.70540	1.19755E+0	0.97236E+0	0.22518E+0	0.87387E+0	4.49039E-2	0.0	0.0	0.0	2.67086E-2	0.0	0.0
67.14770	33.70770	3.48340E+0	2.64339E+0	0.84001E+0	2.28990E+0	0.21558E+0	0.0	0.0	0.0	5.14693E-2	0.0	0.0
68.14990	34.70990	7.59250E+0	5.15092E+0	2.44158E+0	4.15291E+0	0.69850E+0	0.0	0.0	0.0	9.31335E-2	0.0	0.0
69.15210	35.71210	1.37137E+1	8.22170E+0	5.49197E+0	5.86855E+0	1.86570E+0	0.0	0.0	0.0	9.94022E-2	0.0	0.0
70.15430	36.71430	2.19234E+1	1.16004E+1	1.03230E+1	7.54208E+0	3.37988E+0	0.0	0.0	0.0	0.10084E+0	0.0	0.0
71.15650	37.71650	3.24358E+1	1.56482E+1	1.67876E+1	8.49552E+0	6.20774E+0	0.0	0.0	0.0	7.23407E-2	0.0	0.0
72.15870	38.71870	4.57602E+1	2.01628E+1	2.55974E+1	8.57286E+0	1.01356E+1	0.0	0.0	0.0	0.12757E+0	0.0	0.0
73.16100	39.72100	6.36156E+1	2.66291E+1	3.69864E+1	8.84978E+0	1.59349E+1	0.0	0.0	0.0	4.43376E-2	0.0	0.0
74.16320	40.72320	8.98311E+1	3.92307E+1	5.06004E+1	1.01927E+1	2.60703E+1	0.0	0.0	0.13773E+0	5.00870E-2	0.0	0.0
75.16540	41.72540	1.28153E+2	5.70204E+1	7.11325E+1	1.02001E+1	4.17828E+1	0.0	0.0	0.69667E+0	3.57270E-2	0.0	0.0
76.16760	42.72760	1.75114E+2	8.04049E+1	9.47089E+1	1.08866E+1	6.11458E+1	0.0	0.0	2.36772E+0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	9.66141E+1	1.27911E+2	1.01090E+1	7.34855E+1	0.0	0.0	4.94494E+0	9.38912E-2	0.0	0.0
78.17210	44.73210	2.73518E+2	1.07897E+2	1.65620E+2	8.15902E+0	7.82351E+1	0.0	0.0	9.11217E+0	7.62525E-2	0.0	0.0
79.17430	45.73430	3.21338E+2	1.15071E+2	2.06267E+2	6.67402E+0	8.11632E+1	0.0	0.0	1.48262E+1	4.47921E-2	0.0	0.0
80.17650	46.73650	3.67852E+2	1.15319E+2	2.52533E+2	5.79416E+0	7.32218E+1	0.0	0.0	2.20999E+1	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	1.12163E+2	3.00906E+2	4.72145E+0	6.66186E+1	0.0	0.0	2.56801E+1	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	1.13589E+2	3.43441E+2	3.50385E+0	6.02026E+1	0.0	0.0	3.31910E+1	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	1.15087E+2	3.84691E+2	2.02029E+0	5.39209E+1	0.0	0.0	4.13115E+1	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	1.14852E+2	4.26506E+2	1.81107E+0	4.55031E+1	0.15092E+0	0.0	4.96534E+1	0.0	0.0	0.0
85.18760	51.74760	5.81813E+2	1.07377E+2	4.74436E+2	1.05430E+0	3.62518E+1	0.40550E+0	0.0	5.07687E+1	0.0	0.0	0.0
86.18980	52.74980	6.21183E+2	1.14902E+2	5.06281E+2	1.29882E+0	3.31632E+1	0.34635E+0	0.0	5.95726E+1	0.0	0.0	0.0
87.19200	53.75200	6.59506E+2	1.11144E+2	5.48363E+2	0.91930E+0	2.27987E+1	0.91930E+0	0.0	6.74767E+1	0.0	0.0	0.0
88.19420	54.75420	6.96820E+2	9.98510E+1	5.96969E+2	0.29139E+0	1.92320E+1	1.94263E+0	0.0	5.73075E+1	0.0	0.0	0.0
89.19650	55.75650	7.33161E+2	1.02504E+2	6.30657E+2	0.20439E+0	1.63515E+1	3.06591E+0	0.0	6.03984E+1	0.0	0.0	0.0
