Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 719 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	4n	5n	6n	7n	2n	8n	
64.14100	30.70100	5.86190E-2	5.43796E-2	4.23948E-3	4.64713E-2	8.15285E-5	0.0	0.0	0.0	4.48407E-3	0.0
65.14320	31.70320	0.29592E+0	0.27700E+0	1.89329E-2	0.24242E+0	2.05792E-3	0.0	0.0	0.0	1.68750E-2	0.0
66.14540	32.70540	1.19755E+0	1.09262E+0	0.10493E+0	0.95270E+0	3.33115E-2	0.0	0.0	0.0	4.99673E-2	0.0
67.14770	33.70770	3.48340E+0	3.10067E+0	0.38273E+0	2.60650E+0	0.13080E+0	0.0	0.0	0.0	0.13565E+0	0.0
68.14990	34.70990	7.59250E+0	6.44148E+0	1.15102E+0	5.31158E+0	0.45407E+0	0.0	0.0	0.0	0.17951E+0	0.0
69.15210	35.71210	1.37137E+1	1.11006E+1	2.61304E+0	8.41131E+0	1.75474E+0	0.0	0.0	0.0	0.20980E+0	0.0
70.15430	36.71430	2.19234E+1	1.57641E+1	6.15928E+0	1.11904E+1	2.89669E+0	0.0	0.0	0.0	0.39638E+0	0.0
71.15650	37.71650	3.24358E+1	2.25111E+1	9.92472E+0	1.42555E+1	5.63904E+0	0.0	0.0	0.0	0.45112E+0	0.0
72.15870	38.71870	4.57602E+1	2.97855E+1	1.59747E+1	1.65475E+1	9.61027E+0	0.0	0.0	0.0	0.25457E+0	0.0
73.16100	39.72100	6.36156E+1	4.14077E+1	2.22079E+1	2.05269E+1	1.71647E+1	0.0	0.0	0.0	8.84778E-2	0.0
74.16320	40.72320	8.98311E+1	5.74719E+1	3.23592E+1	2.19893E+1	2.79863E+1	0.12493E+0	0.0	0.0	0.62469E+0	0.0
75.16540	41.72540	1.28153E+2	7.84246E+1	4.97283E+1	2.19232E+1	4.52724E+1	0.17823E+0	0.0	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	1.12521E+2	6.25929E+1	2.48423E+1	6.79510E+1	2.19197E+0	0.0	0.0	0.48710E+0	0.0
77.16980	43.72980	2.24525E+2	1.39586E+2	8.49386E+1	2.84169E+1	9.02472E+1	1.87364E+0	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	1.51785E+2	1.21732E+2	2.28248E+1	9.85272E+1	8.36911E+0	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	1.85920E+2	1.35418E+2	2.14523E+1	1.16647E+2	1.38546E+1	0.0	0.0	0.44692E+0	0.0
80.17650	46.73650	3.67852E+2	1.92880E+2	1.74973E+2	1.84182E+1	1.20230E+2	1.84182E+1	0.0	0.0	0.51161E+0	0.0
81.17870	47.73870	4.13070E+2	2.09120E+2	2.03950E+2	9.76660E+0	1.32711E+2	2.35547E+1	0.0	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	1.97686E+2	2.59344E+2	1.08060E+1	1.22680E+2	2.92397E+1	0.0	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	2.12006E+2	2.87772E+2	1.25118E+1	1.16082E+2	3.26698E+1	0.0	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	2.11574E+2	3.29784E+2	5.27053E+0	9.63753E+1	5.49641E+1	0.0	0.0	0.0	0.0
85.18760	51.74760	5.81813E+2	2.18483E+2	3.63330E+2	6.47358E+0	8.41566E+1	7.04002E+1	0.80919E+0	0.0	0.0	0.0
86.18980	52.74980	6.21183E+2	2.04757E+2	4.16426E+2	3.45582E+0	6.99803E+1	8.29396E+1	0.0	0.0	0.0	0.0
87.19200	53.75200	6.59506E+2	2.17389E+2	4.42117E+2	3.66902E+0	7.15459E+1	7.52149E+1	0.91725E+0	0.0	0.0	0.0
88.19420	54.75420	6.96820E+2	2.11275E+2	4.85545E+2	1.93830E+0	6.59024E+1	7.85013E+1	0.0	0.0	0.0	0.0
89.19650	55.75650	7.33161E+2	2.12096E+2	5.21064E+2	2.03939E+0	4.99650E+1	8.46347E+1	8.15756E+0	0.0	0.0	0.0
90.19870	56.75870	7.68560E+2	2.18062E+2	5.50499E+2	1.06893E+0	4.48950E+1	1.09031E+2	5.34465E+0	0.0	0.0	0.0
91.20090	57.76090	8.03051E+2	2.09977E+2	5.93074E+2	0.0	3.57408E+1	1.03872E+2	6.70140E+0	0.0	0.0	0.0
92.20310	58.76310	8.36664E+2	1.94330E+2	6.42335E+2	0.0	2.67640E+1	9.54193E+1	4.65460E+0	0.0	0.0	0.0
93.20530	59.76530	8.69429E+2	2.12823E+2	6.56606E+2	1.20922E+0	2.05567E+1	9.67375E+1	7.25532E+0	0.0	0.0	0.0
94.20760	60.76760	9.01373E+2	1.81779E+2	7.19594E+2	1.25365E+0	1.62974E+1	8.14871E+1	2.00584E+1	0.0	0.0	0.0
95.20980	61.76980	9.32524E+2	1.94546E+2	7.37978E+2	0.0	1.03758E+1	8.30063E+1	2.20485E+1	0.0	0.0	0.0
96.21200	62.77200	9.62907E+2	1.87492E+2	7.75415E+2	0.0	9.37462E+0	7.09792E+1	1.74100E+1	0.0	0.0	0.0
