Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 105217 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	2n	4n	3n	6n	7n	5n	8n	1n	9n	
100.21800	67.35800	1.02310E+3	3.22827E+1	9.90813E+2	0.0	0.34032E+0	0.0	1.30881E+1	3.88947E-2	1.15323E+1	0.0	0.0	0.0
101.22000	68.36000	1.04972E+3	3.33919E+1	1.01632E+3	0.0	0.21948E+0	0.0	1.55536E+1	0.26937E+0	9.72726E+0	0.0	0.0	0.0
102.22300	69.36300	1.07573E+3	3.08865E+1	1.04484E+3	0.0	0.21470E+0	0.0	1.51314E+1	0.26582E+0	7.62705E+0	0.0	0.0	0.0
103.22500	70.36500	1.10113E+3	3.13542E+1	1.06978E+3	0.0	0.14651E+0	0.0	1.60434E+1	0.62792E+0	6.19549E+0	0.0	0.0	0.0
104.22700	71.36700	1.12589E+3	3.08286E+1	1.09506E+3	0.0	8.56052E-2	0.0	1.59654E+1	0.88815E+0	5.40383E+0	0.0	0.0	0.0
105.22900	72.36900	1.15002E+3	3.11285E+1	1.11889E+3	0.0	0.0	0.0	1.62091E+1	1.46462E+0	4.17525E+0	0.0	0.0	0.0
106.23100	73.37100	1.17366E+3	3.07757E+1	1.14289E+3	0.0	8.92374E-2	0.0	1.58173E+1	2.11939E+0	3.08985E+0	0.0	0.0	0.0
107.23300	74.37300	1.19693E+3	3.16475E+1	1.16528E+3	0.0	2.27516E-2	0.0	1.56417E+1	3.04872E+0	2.49130E+0	0.0	0.0	0.0
108.23600	75.37600	1.21961E+3	3.05550E+1	1.18906E+3	0.0	3.47742E-2	0.0	1.43270E+1	4.01062E+0	2.13282E+0	0.0	0.0	0.0
109.23800	76.37800	1.24149E+3	2.94748E+1	1.21201E+3	0.0	2.35986E-2	0.0	1.29321E+1	4.23596E+0	1.64011E+0	0.0	0.0	0.0
110.24000	77.38000	1.26298E+3	2.89885E+1	1.23399E+3	0.0	2.40071E-2	0.0	1.13553E+1	5.54563E+0	1.14034E+0	0.0	0.0	0.0
111.24200	78.38200	1.28445E+3	2.91762E+1	1.25527E+3	0.0	0.0	0.0	1.05840E+1	5.92069E+0	0.96440E+0	1.22076E-2	0.0	0.0
112.24400	79.38400	1.30513E+3	2.89266E+1	1.27621E+3	0.0	0.0	0.0	8.96823E+0	7.31847E+0	0.88069E+0	6.20210E-2	0.0	0.0
