Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 426 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	4n	5n	6n	7n	8n	2n	9n	
64.14100	30.70100	5.86190E-2	4.36202E-2	1.49988E-2	4.18314E-2	8.25620E-4	0.0	0.0	0.0	0.0	8.25620E-4	0.0
65.14320	31.70320	0.29592E+0	0.20701E+0	8.89177E-2	0.19659E+0	9.72537E-3	0.0	0.0	0.0	0.0	0.0	0.0
66.14540	32.70540	1.19755E+0	0.82929E+0	0.36826E+0	0.73370E+0	8.43344E-2	0.0	0.0	0.0	0.0	2.81115E-3	0.0
67.14770	33.70770	3.48340E+0	1.83983E+0	1.64358E+0	1.44733E+0	0.38431E+0	0.0	0.0	0.0	0.0	0.0	0.0
68.14990	34.70990	7.59250E+0	3.67149E+0	3.92101E+0	2.67342E+0	0.98025E+0	0.0	0.0	0.0	0.0	0.0	0.0
69.15210	35.71210	1.37137E+1	5.44040E+0	8.27328E+0	3.18698E+0	2.22123E+0	0.0	0.0	0.0	0.0	0.0	0.0
70.15430	36.71430	2.19234E+1	7.56510E+0	1.43583E+1	2.98487E+0	4.52877E+0	0.0	0.0	0.0	0.0	0.0	0.0
71.15650	37.71650	3.24358E+1	1.12688E+1	2.11670E+1	3.50245E+0	7.61403E+0	0.0	0.0	0.0	0.0	0.0	0.0
72.15870	38.71870	4.57602E+1	1.40718E+1	3.16884E+1	3.00771E+0	1.10641E+1	0.0	0.0	0.0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	1.76212E+1	4.59943E+1	2.38932E+0	1.47839E+1	0.14933E+0	0.0	0.0	0.0	0.0	0.0
74.16320	40.72320	8.98311E+1	2.76241E+1	6.22070E+1	2.31958E+0	2.42502E+1	0.21087E+0	0.0	0.0	0.0	0.0	0.0
75.16540	41.72540	1.28153E+2	3.85060E+1	8.96468E+1	1.20331E+0	3.42944E+1	2.10580E+0	0.0	0.0	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	5.59050E+1	1.19209E+2	1.23320E+0	5.05611E+1	3.28852E+0	0.0	0.0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	7.22064E+1	1.52319E+2	3.68938E+0	6.11383E+1	5.27054E+0	0.0	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	7.06266E+1	2.02891E+2	1.28412E+0	5.58592E+1	1.15571E+1	0.0	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	6.63797E+1	2.54959E+2	0.0	4.37503E+1	1.96122E+1	0.0	0.0	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	6.64898E+1	3.01363E+2	0.0	4.14482E+1	2.33146E+1	0.0	0.0	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	7.27235E+1	3.40346E+2	0.96964E+0	3.19983E+1	3.68466E+1	0.0	0.0	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	5.57877E+1	4.01242E+2	0.0	2.03840E+1	3.43309E+1	0.0	0.0	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	5.74861E+1	4.42292E+2	1.17319E+0	1.75978E+1	3.75420E+1	0.0	0.0	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	5.97272E+1	4.81631E+2	0.0	1.52495E+1	3.81238E+1	1.27079E+0	0.0	0.0	0.0	0.0
85.18760	51.74760	5.81813E+2	6.14591E+1	5.20354E+2	0.0	8.19455E+0	5.05331E+1	0.0	0.0	0.0	0.0	0.0
86.18980	52.74980	6.21183E+2	5.97852E+1	5.61398E+2	0.0	4.37453E+0	4.95780E+1	1.45818E+0	0.0	0.0	0.0	0.0
87.19200	53.75200	6.59506E+2	5.26366E+1	6.06870E+2	0.0	3.09627E+0	4.33478E+1	3.09627E+0	0.0	0.0	0.0	0.0
88.19420	54.75420	6.96820E+2	6.54291E+1	6.31391E+2	0.0	3.27146E+0	4.58004E+1	8.17864E+0	0.0	0.0	0.0	0.0
89.19650	55.75650	7.33161E+2	4.30258E+1	6.90135E+2	0.0	1.72103E+0	3.26997E+1	3.44207E+0	0.0	0.0	0.0	0.0
90.19870	56.75870	7.68560E+2	2.70620E+1	7.41498E+2	0.0	0.0	2.16496E+1	3.60826E+0	0.0	0.0	0.0	0.0
91.20090	57.76090	8.03051E+2	4.33572E+1	7.59694E+2	0.0	1.88510E+0	1.69659E+1	9.42549E+0	0.0	0.0	0.0	0.0
92.20310	58.76310	8.36664E+2	4.91000E+1	7.87564E+2	1.96400E+0	1.96400E+0	3.14240E+1	1.37480E+1	0.0	0.0	0.0	0.0
93.20530	59.76530	8.69429E+2	4.89819E+1	8.20447E+2	0.0	0.0	2.65319E+1	1.83682E+1	0.0	0.0	0.0	0.0
94.20760	60.76760	9.01373E+2	4.23180E+1	8.59055E+2	0.0	0.0	1.69272E+1	1.69272E+1	0.0	0.0	0.0	0.0
95.20980	61.76980	9.32524E+2	4.59694E+1	8.86554E+2	0.0	0.0	1.75122E+1	1.97012E+1	0.0	0.0	0.0	0.0
96.21200	62.77200	9.62907E+2	4.52069E+1	9.17700E+2	0.0	0.0	1.13017E+1	1.58224E+1	2.26035E+0	0.0	0.0	0.0
97.21420	63.77420	9.92547E+2	3.96087E+1	9.52939E+2	0.0	0.0	4.65985E+0	2.56292E+1	0.0	0.0	0.0	0.0
98.21640	64.77640	1.02147E+3	5.27517E+1	9.68716E+2	0.0	0.0	9.59124E+0	3.11715E+1	2.39781E+0	0.0	0.0	0.0
99.21870	65.77870	1.04969E+3	6.65297E+1	9.83161E+2	0.0	0.0	7.39219E+0	4.43531E+1	2.46406E+0	0.0	0.0	0.0
100.22100	66.78100	1.07724E+3	5.56322E+1	1.02161E+3	0.0	0.0	5.05748E+0	3.28736E+1	0.0	0.0	0.0	0.0
101.22300	67.78300	1.10415E+3	4.66541E+1	1.05749E+3	0.0	0.0	0.0	2.85109E+1	5.18379E+0	0.0	0.0	0.0
102.22500	68.78500	1.13043E+3	6.89936E+1	1.06144E+3	0.0	0.0	2.65360E+0	2.91896E+1	1.59216E+1	0.0	0.0	0.0
103.22800	69.78800	1.15612E+3	4.34222E+1	1.11269E+3	0.0	0.0	0.0	2.44250E+1	2.71389E+0	0.0	0.0	0.0
104.23000	70.79000	1.18119E+3	5.54550E+1	1.12574E+3	0.0	0.0	0.0	1.94093E+1	2.77275E+1	0.0	0.0	0.0
105.23200	71.79200	1.20564E+3	4.52824E+1	1.16036E+3	0.0	0.0	2.83015E+0	2.26412E+1	1.41508E+1	0.0	0.0	0.0
106.23400	72.79400	1.22949E+3	4.90642E+1	1.18043E+3	0.0	0.0	0.0	1.44307E+1	1.73168E+1	0.0	0.0	0.0
107.23600	73.79600	1.25283E+3	4.41136E+1	1.20871E+3	0.0	0.0	0.0	1.17636E+1	1.47046E+1	0.0	0.0	0.0
108.23900	74.79900	1.27575E+3	3.59366E+1	1.23981E+3	0.0	0.0	0.0	1.79683E+1	5.98944E+0	0.0	0.0	0.0
109.24100	75.80100	1.29820E+3	2.43793E+1	1.27382E+3	0.0	0.0	0.0	3.04742E+0	9.14227E+0	0.0	0.0	0.0
110.24300	76.80300	1.32000E+3	5.26762E+1	1.26733E+3	0.0	0.0	3.09860E+0	1.23944E+1	1.23944E+1	0.0	0.0	0.0
111.24500	77.80500	1.34120E+3	4.40768E+1	1.29712E+3	0.0	0.0	0.0	9.44504E+0	1.88901E+1	0.0	0.0	0.0
112.24800	78.80800	1.36210E+3	2.23819E+1	1.33972E+3	0.0	0.0	0.0	0.0	1.59871E+1	0.0	0.0	0.0
113.25000	79.81000	1.38270E+3	6.49156E+1	1.31779E+3	0.0	0.0	0.0	1.62289E+1	2.27205E+1	3.24578E+0	0.0	0.0
114.25200	80.81200	1.40263E+3	4.28030E+1	1.35982E+3	0.0	0.0	0.0	0.0	1.64627E+1	3.29255E+0	0.0	0.0
115.25400	81.81400	1.42205E+3	4.00576E+1	1.38199E+3	0.0	0.0	0.0	6.67628E+0	6.67628E+0	6.67628E+0	0.0	0.0
116.25600	82.81600	1.44132E+3	6.42842E+1	1.37703E+3	0.0	0.0	0.0	3.38338E+0	1.69169E+1	3.38338E+0	0.0	0.0
117.25900	83.81900	1.46001E+3	4.45542E+1	1.41545E+3	0.0	0.0	0.0	6.85450E+0	1.37090E+1	3.42725E+0	0.0	0.0
118.26100	84.82100	1.47822E+3	2.77599E+1	1.45046E+3	0.0	0.0	0.0	3.46999E+0	1.04100E+1	3.46999E+0	0.0	0.0
119.26300	85.82300	1.49642E+3	4.91782E+1	1.44724E+3	0.0	0.0	0.0	0.0	1.40509E+1	7.02545E+0	0.0	0.0
120.26500	86.82500	1.51377E+3	3.90879E+1	1.47468E+3	0.0	0.0	0.0	0.0	7.10689E+0	1.06603E+1	0.0	0.0
121.26700	87.82700	1.53079E+3	5.39011E+1	1.47689E+3	0.0	0.0	0.0	0.0	2.51539E+1	7.18682E+0	0.0	0.0
122.27000	88.83000	1.54823E+3	5.45151E+1	1.49372E+3	0.0	0.0	0.0	0.0	1.81717E+1	1.81717E+1	0.0	0.0
123.27200	89.83200	1.56415E+3	5.50755E+1	1.50907E+3	0.0	0.0	0.0	0.0	7.34341E+0	2.20302E+1	0.0	0.0
124.27400	90.83400	1.58026E+3	3.33856E+1	1.54687E+3	0.0	0.0	0.0	0.0	1.85476E+1	3.70952E+0	0.0	0.0
125.27600	91.83600	1.59689E+3	3.37370E+1	1.56315E+3	0.0	0.0	0.0	0.0	0.0	1.49942E+1	0.0	0.0
126.27900	92.83900	1.61125E+3	1.89114E+1	1.59234E+3	0.0	0.0	0.0	0.0	3.78228E+0	3.78228E+0	0.0	0.0
127.28100	93.84100	1.62719E+3	4.20167E+1	1.58518E+3	0.0	0.0	0.0	0.0	3.81970E+0	7.63940E+0	0.0	0.0
128.28300	94.84300	1.64219E+3	3.85490E+1	1.60364E+3	0.0	0.0	0.0	0.0	3.85491E+0	1.54196E+1	0.0	3.85491E+0

