Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 5541 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	5n	4n	8n	6n	7n	2n	9n	
103.22800	69.78800	1.15612E+3	2.92107E+1	1.12691E+3	0.0	1.25189E+0	0.0	0.0	1.29362E+1	7.92861E+0	0.0	0.0
104.23000	70.79000	1.18119E+3	2.62203E+1	1.15497E+3	0.0	0.63951E+0	0.0	0.0	1.10850E+1	7.67423E+0	0.0	0.0
105.23200	71.79200	1.20564E+3	3.02445E+1	1.17540E+3	0.0	0.65275E+0	0.0	0.0	1.32728E+1	1.06617E+1	0.0	0.0
106.23400	72.79400	1.22949E+3	2.32984E+1	1.20619E+3	0.0	0.0	0.0	0.0	9.09749E+0	9.76316E+0	0.0	0.0
107.23600	73.79600	1.25283E+3	3.30108E+1	1.21982E+3	0.0	0.67830E+0	0.0	0.0	9.04406E+0	1.56010E+1	0.0	0.0
108.23900	74.79900	1.27575E+3	2.69379E+1	1.24881E+3	0.0	0.0	0.0	0.0	5.75596E+0	1.31236E+1	0.0	0.0
109.24100	75.80100	1.29820E+3	2.92863E+1	1.26892E+3	0.0	0.70287E+0	0.0	0.23429E+0	5.62297E+0	1.54632E+1	0.0	0.0
110.24300	76.80300	1.32000E+3	2.54901E+1	1.29451E+3	0.0	0.0	0.0	0.95289E+0	5.00271E+0	1.11966E+1	0.0	0.0
111.24500	77.80500	1.34120E+3	2.25106E+1	1.31869E+3	0.0	0.0	0.0	1.21025E+0	4.35689E+0	1.08922E+1	0.0	0.0
112.24800	78.80800	1.36210E+3	2.65489E+1	1.33555E+3	0.0	0.0	0.0	2.45823E+0	2.45823E+0	1.40119E+1	0.0	0.0
113.25000	79.81000	1.38270E+3	2.79485E+1	1.35475E+3	0.0	0.0	0.0	2.74494E+0	2.24586E+0	1.39743E+1	0.0	0.0
114.25200	80.81200	1.40263E+3	2.73386E+1	1.37529E+3	0.0	0.0	0.0	2.78449E+0	2.53136E+0	1.36693E+1	0.0	0.0
115.25400	81.81400	1.42205E+3	2.56641E+1	1.39638E+3	0.0	0.25664E+0	0.0	3.84961E+0	2.05313E+0	1.12922E+1	0.0	0.0
116.25600	82.81600	1.44132E+3	2.52315E+1	1.41609E+3	0.0	0.0	0.0	3.90178E+0	1.56071E+0	9.10416E+0	0.0	0.0
117.25900	83.81900	1.46001E+3	2.45047E+1	1.43550E+3	0.0	0.0	0.0	4.21587E+0	0.52698E+0	9.22221E+0	0.0	0.0
118.26100	84.82100	1.47822E+3	2.37433E+1	1.45447E+3	0.0	0.26677E+0	0.0	3.46812E+0	0.80033E+0	9.60401E+0	0.0	0.0
119.26300	85.82300	1.49642E+3	2.59260E+1	1.47050E+3	0.0	0.0	0.0	8.64203E+0	0.54012E+0	6.48152E+0	0.0	0.0
120.26500	86.82500	1.51377E+3	2.43143E+1	1.48945E+3	0.0	0.0	0.0	8.19582E+0	0.27319E+0	8.19582E+0	0.0	0.27319E+0
121.26700	87.82700	1.53079E+3	2.23776E+1	1.50842E+3	0.0	0.0	0.0	7.73546E+0	0.27626E+0	6.63040E+0	0.0	0.27626E+0
122.27000	88.83000	1.54823E+3	2.26325E+1	1.52560E+3	0.0	0.0	0.0	7.26476E+0	0.0	3.35297E+0	0.0	1.11766E+0
123.27200	89.83200	1.56415E+3	2.51234E+1	1.53902E+3	0.0	0.0	0.0	9.88000E+0	0.28228E+0	4.23429E+0	0.0	0.56457E+0
124.27400	90.83400	1.58026E+3	2.73785E+1	1.55288E+3	0.0	0.0	0.0	1.14077E+1	0.0	3.99271E+0	0.0	0.85558E+0
125.27600	91.83600	1.59689E+3	2.33438E+1	1.57354E+3	0.0	0.0	0.0	6.62847E+0	0.0	3.45833E+0	0.0	0.86458E+0
126.27900	92.83900	1.61125E+3	2.29722E+1	1.58828E+3	0.0	0.0	0.0	5.52496E+0	0.29078E+0	4.36181E+0	0.0	1.74472E+0
127.28100	93.84100	1.62719E+3	2.46678E+1	1.60252E+3	0.0	0.0	0.0	6.46061E+0	0.0	1.46832E+0	0.0	2.05565E+0
128.28300	94.84300	1.64219E+3	2.28205E+1	1.61937E+3	0.0	0.0	0.0	6.22379E+0	0.0	1.18548E+0	0.0	1.18548E+0

