Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 10228 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	5n	2n	7n	4n	6n	8n	9n	
64.14100	30.70100	5.86190E-2	5.64354E-2	2.18360E-3	4.64975E-2	0.0	4.81996E-3	0.0	7.45060E-5	0.0	0.0	0.0
65.14320	31.70320	0.29592E+0	0.28355E+0	1.23834E-2	0.23514E+0	0.0	1.76782E-2	0.0	2.43039E-3	0.0	0.0	0.0
66.14540	32.70540	1.19755E+0	1.13058E+0	6.69728E-2	0.93598E+0	0.0	5.38592E-2	0.0	2.47050E-2	0.0	0.0	0.0
67.14770	33.70770	3.48340E+0	3.22559E+0	0.25781E+0	2.61187E+0	0.0	0.10762E+0	0.0	0.14270E+0	0.0	0.0	0.0
68.14990	34.70990	7.59250E+0	6.85834E+0	0.73415E+0	5.31802E+0	0.0	0.19226E+0	0.0	0.50923E+0	0.0	0.0	0.0
69.15210	35.71210	1.37137E+1	1.19961E+1	1.71756E+0	8.60658E+0	0.0	0.29899E+0	0.0	1.32069E+0	0.0	0.0	0.0
70.15430	36.71430	2.19234E+1	1.86481E+1	3.27522E+0	1.27536E+1	0.0	0.31937E+0	0.0	2.84009E+0	0.0	0.0	0.0
71.15650	37.71650	3.24358E+1	2.69304E+1	5.50533E+0	1.64335E+1	0.0	0.43763E+0	0.0	5.69561E+0	0.0	0.0	0.0
72.15870	38.71870	4.57602E+1	3.70896E+1	8.67063E+0	2.03031E+1	0.0	0.38029E+0	0.0	9.65044E+0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	4.93661E+1	1.42494E+1	2.25963E+1	0.0	0.35452E+0	0.0	1.63144E+1	0.0	0.0	0.0
74.16320	40.72320	8.98311E+1	6.92090E+1	2.06222E+1	2.65594E+1	4.39143E-2	0.36009E+0	0.0	2.68229E+1	0.0	0.0	0.0
75.16540	41.72540	1.28153E+2	9.76182E+1	3.05347E+1	2.98831E+1	0.20047E+0	0.46359E+0	0.0	4.47558E+1	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	1.32808E+2	4.23061E+1	3.27183E+1	1.07862E+0	0.35954E+0	0.0	6.66008E+1	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	1.65825E+2	5.86997E+1	3.31036E+1	2.39277E+0	0.28537E+0	0.0	8.79836E+1	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	2.01822E+2	7.16954E+1	3.17696E+1	4.94728E+0	0.24067E+0	0.0	1.11407E+2	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	2.33369E+2	8.79690E+1	3.12604E+1	9.92793E+0	0.28275E+0	0.0	1.29691E+2	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	2.57547E+2	1.10305E+2	2.85924E+1	1.41703E+1	0.14386E+0	0.0	1.41343E+2	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	2.79997E+2	1.33072E+2	2.56856E+1	2.03142E+1	0.20193E+0	0.0	1.48096E+2	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	2.95496E+2	1.61533E+2	2.14931E+1	2.93128E+1	8.93684E-2	0.0	1.50943E+2	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	3.02515E+2	1.97263E+2	1.76887E+1	4.04592E+1	9.77274E-2	0.0	1.40874E+2	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	3.08999E+2	2.32359E+2	1.42908E+1	4.46192E+1	0.0	0.0	1.32640E+2	0.0	0.0	0.0
85.18760	51.74760	5.81813E+2	3.16050E+2	2.65764E+2	1.04098E+1	5.73963E+1	5.68843E-2	0.0	1.25146E+2	0.0	0.0	0.0
86.18980	52.74980	6.21183E+2	3.12839E+2	3.08344E+2	8.38123E+0	6.43168E+1	6.07336E-2	0.0	1.11507E+2	0.24293E+0	0.0	0.0
87.19200	53.75200	6.59506E+2	3.06927E+2	3.52579E+2	5.86772E+0	7.40881E+1	0.0	0.0	9.16268E+1	0.25792E+0	0.0	0.0
88.19420	54.75420	6.96820E+2	3.04331E+2	3.92489E+2	4.49649E+0	7.86887E+1	0.0	0.0	8.40708E+1	0.61315E+0	0.0	0.0
89.19650	55.75650	7.33161E+2	3.10884E+2	4.22277E+2	3.94249E+0	9.16809E+1	0.0	0.0	7.34021E+1	1.50532E+0	0.0	0.0
90.19870	56.75870	7.68560E+2	3.10189E+2	4.58371E+2	2.78028E+0	9.61076E+1	0.0	0.0	6.25939E+1	1.95371E+0	0.0	0.0
91.20090	57.76090	8.03051E+2	3.03068E+2	4.99984E+2	2.27694E+0	9.78297E+1	0.0	0.0	5.07207E+1	3.53318E+0	0.0	0.0
92.20310	58.76310	8.36664E+2	2.97839E+2	5.38826E+2	1.39062E+0	9.91433E+1	0.0	0.0	4.39273E+1	4.82628E+0	0.0	0.0
93.20530	59.76530	8.69429E+2	3.06188E+2	5.63242E+2	1.36008E+0	1.00476E+2	0.0	0.0	3.40869E+1	8.41547E+0	0.0	0.0
94.20760	60.76760	9.01373E+2	3.01398E+2	5.99975E+2	0.88128E+0	9.46494E+1	0.0	0.0	2.79366E+1	9.60595E+0	0.0	0.0
95.20980	61.76980	9.32524E+2	2.98047E+2	6.34477E+2	0.54704E+0	9.34530E+1	0.0	9.11736E-2	2.47992E+1	1.25820E+1	0.0	0.0
96.21200	62.77200	9.62907E+2	2.90811E+2	6.72096E+2	0.56486E+0	9.07550E+1	0.0	0.0	1.96761E+1	1.78874E+1	0.0	0.0
97.21420	63.77420	9.92547E+2	2.94523E+2	6.98024E+2	0.19408E+0	8.21947E+1	9.70422E-2	9.70422E-2	1.73705E+1	2.01848E+1	0.0	0.0
98.21640	64.77640	1.02147E+3	2.93118E+2	7.28350E+2	0.39947E+0	8.08945E+1	0.0	0.49934E+0	1.42814E+1	2.27703E+1	0.0	0.0
99.21870	65.77870	1.04969E+3	2.83359E+2	7.66332E+2	0.20525E+0	6.76326E+1	0.0	0.41051E+0	9.85240E+0	2.92493E+1	0.0	0.0
100.22100	66.78100	1.07724E+3	2.90586E+2	7.86657E+2	0.0	6.39310E+1	0.0	0.42129E+0	9.47906E+0	3.42299E+1	0.0	0.0
101.22300	67.78300	1.10415E+3	2.86077E+2	8.18072E+2	0.10795E+0	5.65676E+1	0.0	1.07953E+0	6.80107E+0	3.33576E+1	0.0	0.0
102.22500	68.78500	1.13043E+3	2.89903E+2	8.40531E+2	0.0	5.59249E+1	0.0	1.10523E+0	5.96827E+0	3.64727E+1	0.0	0.0
103.22800	69.78800	1.15612E+3	2.94003E+2	8.62114E+2	0.11303E+0	4.86048E+1	0.0	1.92159E+0	4.18228E+0	3.78666E+1	0.0	0.0
104.23000	70.79000	1.18119E+3	2.88946E+2	8.92246E+2	0.0	4.21524E+1	0.0	3.81104E+0	4.04202E+0	4.06511E+1	0.0	0.0
105.23200	71.79200	1.20564E+3	2.78425E+2	9.27220E+2	0.0	3.63061E+1	0.0	3.41843E+0	2.82905E+0	4.25536E+1	0.0	0.0
106.23400	72.79400	1.22949E+3	2.63978E+2	9.65515E+2	0.0	3.11340E+1	0.0	5.77001E+0	0.96166E+0	3.94284E+1	0.0	0.0
107.23600	73.79600	1.25283E+3	2.75603E+2	9.77226E+2	0.0	2.76828E+1	0.0	8.20684E+0	2.08233E+0	4.10342E+1	0.0	0.0
108.23900	74.79900	1.27575E+3	2.71415E+2	1.00434E+3	0.0	2.33247E+1	0.0	9.72904E+0	1.37204E+0	3.92903E+1	0.0	0.0
109.24100	75.80100	1.29820E+3	2.73019E+2	1.02518E+3	0.0	2.05621E+1	0.0	1.07887E+1	0.76155E+0	3.89664E+1	0.0	0.0
110.24300	76.80300	1.32000E+3	2.75796E+2	1.04421E+3	0.12905E+0	2.11655E+1	0.0	1.12280E+1	1.03246E+0	3.42003E+1	0.0	0.0
111.24500	77.80500	1.34120E+3	2.80093E+2	1.06110E+3	0.0	1.59978E+1	0.0	1.27196E+1	0.52451E+0	4.11748E+1	0.0	0.0
112.24800	78.80800	1.36210E+3	2.69810E+2	1.09229E+3	0.0	1.42496E+1	0.0	1.50486E+1	0.79904E+0	3.40925E+1	0.0	0.0
113.25000	79.81000	1.38270E+3	2.77676E+2	1.10503E+3	0.0	1.21669E+1	0.0	1.28429E+1	0.27037E+0	3.19044E+1	0.54075E+0	0.0
114.25200	80.81200	1.40263E+3	2.78249E+2	1.12438E+3	0.0	1.01481E+1	0.0	1.46735E+1	0.54854E+0	3.19527E+1	0.27427E+0	0.0
115.25400	81.81400	1.42205E+3	2.69588E+2	1.15246E+3	0.0	9.87146E+0	0.0	1.69622E+1	0.41710E+0	2.62776E+1	0.41710E+0	0.0
116.25600	82.81600	1.44132E+3	2.78033E+2	1.16329E+3	0.0	5.77768E+0	0.0	1.95877E+1	0.70459E+0	2.49427E+1	0.42275E+0	0.0
117.25900	83.81900	1.46001E+3	2.83779E+2	1.17623E+3	0.0	6.42358E+0	0.0	2.18402E+1	0.14274E+0	2.22684E+1	0.85647E+0	0.0
118.26100	84.82100	1.47822E+3	2.76624E+2	1.20159E+3	0.0	4.19127E+0	0.0	1.89330E+1	0.14452E+0	2.29797E+1	0.57810E+0	0.0
119.26300	85.82300	1.49642E+3	2.64229E+2	1.23219E+3	0.0	4.68180E+0	0.0	2.10681E+1	0.0	2.13607E+1	0.87783E+0	0.0
120.26500	86.82500	1.51377E+3	2.72176E+2	1.24159E+3	0.0	2.51604E+0	0.0	2.17563E+1	0.14800E+0	1.80563E+1	1.03602E+0	0.0
121.26700	87.82700	1.53079E+3	2.61618E+2	1.26918E+3	0.0	2.84367E+0	0.0	1.91574E+1	0.0	1.97560E+1	1.79600E+0	0.0
122.27000	88.83000	1.54823E+3	2.72167E+2	1.27607E+3	0.0	3.02744E+0	0.0	2.24031E+1	0.15137E+0	1.49858E+1	2.27058E+0	0.0
123.27200	89.83200	1.56415E+3	2.74200E+2	1.28995E+3	0.0	2.29392E+0	0.0	1.60574E+1	0.0	1.49869E+1	1.98806E+0	0.0
124.27400	90.83400	1.58026E+3	2.70534E+2	1.30972E+3	0.0	2.47205E+0	0.0	1.83858E+1	0.15450E+0	1.29782E+1	2.62655E+0	0.0
125.27600	91.83600	1.59689E+3	2.54646E+2	1.34224E+3	0.0	1.87355E+0	0.0	1.77987E+1	0.0	1.01484E+1	3.74709E+0	0.0
126.27900	92.83900	1.61125E+3	2.71430E+2	1.33982E+3	0.0	1.57534E+0	0.0	1.82739E+1	0.0	1.05547E+1	3.30821E+0	0.0
127.28100	93.84100	1.62719E+3	2.64729E+2	1.36246E+3	0.0	1.27274E+0	0.0	2.02047E+1	0.0	8.59096E+0	3.18184E+0	0.0
128.28300	94.84300	1.64219E+3	2.60265E+2	1.38193E+3	0.0	1.12391E+0	0.0	1.75009E+1	0.0	8.50959E+0	4.01396E+0	0.16055E+0

