Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 8705 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	5n	4n	8n	6n	2n	7n	9n	
64.14100	30.70100	5.86190E-2	4.29828E-2	1.56362E-2	4.14609E-2	0.0	2.15486E-4	0.0	0.0	1.05723E-3	0.0	0.0
65.14320	31.70320	0.29592E+0	0.20696E+0	8.89657E-2	0.19669E+0	0.0	6.01717E-3	0.0	0.0	2.99159E-3	0.0	0.0
66.14540	32.70540	1.19755E+0	0.75939E+0	0.43816E+0	0.68743E+0	0.0	5.98430E-2	0.0	0.0	6.74094E-3	0.0	0.0
67.14770	33.70770	3.48340E+0	1.94838E+0	1.53502E+0	1.64306E+0	0.0	0.28171E+0	0.0	0.0	9.20371E-3	0.0	0.0
68.14990	34.70990	7.59250E+0	3.49665E+0	4.09585E+0	2.57561E+0	0.0	0.87743E+0	0.0	0.0	5.23320E-3	0.0	0.0
69.15210	35.71210	1.37137E+1	5.42562E+0	8.28808E+0	3.40125E+0	0.0	1.96135E+0	0.0	0.0	4.72614E-3	0.0	0.0
70.15430	36.71430	2.19234E+1	7.10967E+0	1.48137E+1	3.52587E+0	0.0	3.49313E+0	0.0	0.0	5.03696E-3	0.0	0.0
71.15650	37.71650	3.24358E+1	9.20348E+0	2.32323E+1	3.22308E+0	0.0	5.82763E+0	0.0	0.0	0.0	0.0	0.0
72.15870	38.71870	4.57602E+1	1.14282E+1	3.43320E+1	3.27497E+0	0.0	7.89567E+0	0.0	0.0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	1.56828E+1	4.79327E+1	2.98164E+0	7.30793E-3	1.23577E+1	0.0	0.0	0.0	0.0	0.0
74.16320	40.72320	8.98311E+1	2.23108E+1	6.75204E+1	2.86882E+0	0.15479E+0	1.88950E+1	0.0	0.0	1.03195E-2	0.0	0.0
75.16540	41.72540	1.28153E+2	3.10335E+1	9.71194E+1	2.66464E+0	0.86858E+0	2.68672E+1	0.0	0.0	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	4.01324E+1	1.34982E+2	2.19270E+0	2.19270E+0	3.45400E+1	0.0	0.0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	4.46213E+1	1.79904E+2	1.39280E+0	5.26170E+0	3.66256E+1	0.0	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	4.58114E+1	2.27706E+2	1.41393E+0	9.01776E+0	3.40915E+1	0.0	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	4.69549E+1	2.74383E+2	0.73828E+0	1.24401E+1	3.17831E+1	0.0	0.0	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	4.47086E+1	3.23144E+2	0.71837E+0	1.53395E+1	2.70449E+1	0.0	0.0	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	4.15679E+1	3.71502E+2	0.61687E+0	1.90282E+1	1.98349E+1	0.0	0.0	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	3.89040E+1	4.18126E+2	5.25020E-2	2.22083E+1	1.48056E+1	0.0	0.0	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	3.89259E+1	4.60852E+2	0.11482E+0	2.37689E+1	1.25734E+1	0.0	5.74128E-2	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	3.53236E+1	5.06035E+2	0.0	2.47514E+1	8.58213E+0	0.0	6.21894E-2	0.0	0.0	0.0
