Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 1221 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	5n	4n	7n	6n	9n	2n	8n	
64.14100	30.70100	5.86190E-2	4.49365E-2	1.36826E-2	4.35922E-2	0.0	3.36063E-4	0.0	0.0	0.0	8.16153E-4	0.0
65.14320	31.70320	0.29592E+0	0.22007E+0	7.58606E-2	0.20407E+0	0.0	1.11488E-2	0.0	0.0	0.0	3.15076E-3	0.0
66.14540	32.70540	1.19755E+0	0.77777E+0	0.41978E+0	0.68851E+0	0.0	8.14058E-2	0.0	0.0	0.0	2.94238E-3	0.0
67.14770	33.70770	3.48340E+0	2.09974E+0	1.38366E+0	1.71460E+0	0.0	0.36517E+0	0.0	0.0	0.0	2.85291E-3	0.0
68.14990	34.70990	7.59250E+0	3.89886E+0	3.69365E+0	2.87906E+0	0.0	0.97004E+0	0.0	0.0	0.0	0.0	0.0
69.15210	35.71210	1.37137E+1	5.96394E+0	7.74975E+0	3.48177E+0	0.0	2.42601E+0	0.0	0.0	0.0	2.24630E-2	0.0
70.15430	36.71430	2.19234E+1	8.07987E+0	1.38435E+1	3.60901E+0	0.0	4.34517E+0	0.0	0.0	0.0	0.0	0.0
71.15650	37.71650	3.24358E+1	1.03603E+1	2.20755E+1	3.58627E+0	0.0	6.64123E+0	0.0	0.0	0.0	0.0	0.0
72.15870	38.71870	4.57602E+1	1.32296E+1	3.25306E+1	2.77334E+0	0.0	1.00815E+1	0.0	0.0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	1.87044E+1	4.49112E+1	2.81346E+0	0.0	1.57867E+1	0.0	0.0	0.0	0.0	0.0
74.16320	40.72320	8.98311E+1	2.98701E+1	5.99610E+1	2.64858E+0	0.51500E+0	2.63387E+1	0.0	0.0	0.0	0.0	0.0
75.16540	41.72540	1.28153E+2	4.08284E+1	8.73245E+1	3.46359E+0	1.57436E+0	3.48458E+1	0.0	0.0	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	5.72240E+1	1.17890E+2	2.43811E+0	3.72888E+0	5.03399E+1	0.0	0.0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	6.95090E+1	1.55016E+2	1.10332E+0	9.37820E+0	5.73725E+1	0.0	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	6.31711E+1	2.10347E+2	1.79209E+0	1.25446E+1	4.68183E+1	0.0	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	6.84258E+1	2.52912E+2	1.57906E+0	1.84223E+1	4.60559E+1	0.0	0.0	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	6.71835E+1	3.00669E+2	0.0	2.80182E+1	3.67551E+1	0.0	0.0	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	7.07056E+1	3.42364E+2	0.67660E+0	3.89050E+1	2.90942E+1	0.0	0.0	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	6.28836E+1	3.94146E+2	0.0	3.93023E+1	2.13355E+1	0.0	0.0	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	7.24494E+1	4.27329E+2	0.0	4.95276E+1	1.76007E+1	0.0	0.0	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	5.36481E+1	4.87710E+2	0.0	3.76867E+1	1.24144E+1	0.0	0.0	0.0	0.0	0.0
85.18760	51.74760	5.81813E+2	5.43216E+1	5.27491E+2	0.0	4.43150E+1	7.14758E+0	0.0	0.47650E+0	0.0	0.0	0.0
86.18980	52.74980	6.21183E+2	6.25761E+1	5.58607E+2	0.0	4.68049E+1	8.64874E+0	0.0	3.05250E+0	0.0	0.0	0.0
87.19200	53.75200	6.59506E+2	5.72545E+1	6.02252E+2	0.0	4.59116E+1	5.40136E+0	0.0	2.70068E+0	0.0	0.0	0.0
88.19420	54.75420	6.96820E+2	5.82110E+1	6.38609E+2	0.0	4.33729E+1	2.85348E+0	0.0	5.13627E+0	0.0	0.0	0.0
89.19650	55.75650	7.33161E+2	5.52422E+1	6.77918E+2	0.0	4.38335E+1	1.20092E+0	0.0	6.60505E+0	0.0	0.0	0.0
90.19870	56.75870	7.68560E+2	5.47623E+1	7.13798E+2	0.0	3.65082E+1	1.25890E+0	0.0	1.13301E+1	0.0	0.0	0.0
91.20090	57.76090	8.03051E+2	4.80121E+1	7.55039E+2	0.0	3.42004E+1	0.0	0.0	1.05232E+1	0.0	0.0	0.0
92.20310	58.76310	8.36664E+2	5.55036E+1	7.81161E+2	0.0	2.80944E+1	0.68522E+0	0.0	1.64455E+1	0.0	0.0	0.0
93.20530	59.76530	8.69429E+2	5.05565E+1	8.18872E+2	0.0	2.20739E+1	1.42413E+0	0.0	1.78016E+1	0.0	0.0	0.0
94.20760	60.76760	9.01373E+2	5.16757E+1	8.49697E+2	0.0	2.36232E+1	0.73822E+0	0.0	1.84556E+1	0.0	0.0	0.0
95.20980	61.76980	9.32524E+2	5.11704E+1	8.81353E+2	0.0	1.90934E+1	0.0	1.52748E+0	2.21484E+1	0.0	0.0	0.0
96.21200	62.77200	9.62907E+2	4.33742E+1	9.19533E+2	0.0	9.46346E+0	0.78862E+0	0.0	2.36587E+1	0.0	0.0	0.0
97.21420	63.77420	9.92547E+2	4.87738E+1	9.43773E+2	0.0	1.62579E+1	0.0	0.81289E+0	2.35740E+1	0.0	0.0	0.0
98.21640	64.77640	1.02147E+3	4.43389E+1	9.77129E+2	0.0	1.00390E+1	0.0	0.83658E+0	2.50975E+1	0.0	0.0	0.0
99.21870	65.77870	1.04969E+3	5.93192E+1	9.90372E+2	0.0	1.03164E+1	0.0	3.43879E+0	3.78267E+1	0.0	0.0	0.0
100.22100	66.78100	1.07724E+3	4.58776E+1	1.03136E+3	0.0	7.94036E+0	0.0	4.41131E+0	2.02920E+1	0.0	0.0	0.0
101.22300	67.78300	1.10415E+3	4.25020E+1	1.06165E+3	0.0	3.61719E+0	0.0	3.61719E+0	2.35118E+1	0.0	0.0	0.0
102.22500	68.78500	1.13043E+3	3.05523E+1	1.09988E+3	0.0	0.92582E+0	0.0	6.48079E+0	1.66649E+1	0.0	0.0	0.0
103.22800	69.78800	1.15612E+3	5.30242E+1	1.10309E+3	0.0	0.94686E+0	0.0	1.51498E+1	1.98841E+1	0.0	0.0	0.0
104.23000	70.79000	1.18119E+3	4.45003E+1	1.13669E+3	0.0	0.96739E+0	0.0	1.45110E+1	2.41849E+1	0.0	0.0	0.0
105.23200	71.79200	1.20564E+3	5.92454E+1	1.14640E+3	0.0	3.94970E+0	0.0	1.38239E+1	2.17233E+1	0.0	0.0	0.0
106.23400	72.79400	1.22949E+3	4.12851E+1	1.18821E+3	0.0	2.01391E+0	0.0	1.10765E+1	1.81252E+1	0.0	0.0	0.0
107.23600	73.79600	1.25283E+3	2.77038E+1	1.22512E+3	0.0	0.0	0.0	9.23461E+0	3.07820E+0	0.0	0.0	0.0
108.23900	74.79900	1.27575E+3	4.80627E+1	1.22769E+3	0.0	1.04484E+0	0.0	1.46278E+1	2.19417E+1	0.0	0.0	0.0
109.24100	75.80100	1.29820E+3	4.99717E+1	1.24823E+3	0.0	1.06323E+0	0.0	2.02013E+1	1.27587E+1	0.0	0.0	1.06323E+0
110.24300	76.80300	1.32000E+3	4.75677E+1	1.27243E+3	0.0	0.0	0.0	1.40541E+1	1.18919E+1	0.0	0.0	2.16217E+0
111.24500	77.80500	1.34120E+3	4.50360E+1	1.29616E+3	0.0	0.0	0.0	1.64766E+1	1.42797E+1	0.0	0.0	1.09844E+0
112.24800	78.80800	1.36210E+3	5.02003E+1	1.31190E+3	0.0	0.0	0.0	2.11957E+1	8.92450E+0	0.0	0.0	2.23113E+0
113.25000	79.81000	1.38270E+3	4.75622E+1	1.33514E+3	0.0	0.0	0.0	2.03838E+1	7.92704E+0	0.0	0.0	2.26487E+0
114.25200	80.81200	1.40263E+3	5.39913E+1	1.34863E+3	0.0	0.0	0.0	2.18263E+1	5.74376E+0	0.0	0.0	4.59501E+0
115.25400	81.81400	1.42205E+3	5.47389E+1	1.36731E+3	0.0	0.0	0.0	2.91164E+1	1.16466E+0	0.0	0.0	3.49397E+0
116.25600	82.81600	1.44132E+3	5.19394E+1	1.38938E+3	0.0	0.0	0.0	2.00675E+1	2.36088E+0	0.0	0.0	7.08265E+0
117.25900	83.81900	1.46001E+3	5.26128E+1	1.40739E+3	0.0	0.0	0.0	1.79362E+1	2.39149E+0	0.0	0.0	7.17448E+0
118.26100	84.82100	1.47822E+3	4.72158E+1	1.43100E+3	0.0	0.0	0.0	1.33173E+1	1.21066E+0	0.0	0.0	6.05331E+0
119.26300	85.82300	1.49642E+3	4.04438E+1	1.45598E+3	0.0	0.0	0.0	9.80456E+0	3.67671E+0	0.0	0.0	6.12785E+0
120.26500	86.82500	1.51377E+3	3.71933E+1	1.47657E+3	0.0	0.0	0.0	1.11580E+1	2.47955E+0	0.0	0.0	3.71933E+0
121.26700	87.82700	1.53079E+3	5.01487E+1	1.48064E+3	0.0	0.0	0.0	1.50446E+1	1.25372E+0	1.25372E+0	0.0	1.12835E+1
122.27000	88.83000	1.54823E+3	4.05761E+1	1.50766E+3	0.0	0.0	0.0	6.34002E+0	0.0	0.0	0.0	1.01440E+1
123.27200	89.83200	1.56415E+3	5.12414E+1	1.51290E+3	0.0	0.0	0.0	1.79345E+1	0.0	0.0	0.0	8.96725E+0
124.27400	90.83400	1.58026E+3	4.14153E+1	1.53884E+3	0.0	0.0	0.0	7.76539E+0	1.29423E+0	0.0	0.0	9.05962E+0
125.27600	91.83600	1.59689E+3	4.44669E+1	1.55242E+3	0.0	0.0	0.0	5.23140E+0	2.61570E+0	1.30785E+0	0.0	1.56942E+1
126.27900	92.83900	1.61125E+3	4.48669E+1	1.56639E+3	0.0	0.0	0.0	7.91771E+0	0.0	2.63924E+0	0.0	1.05569E+1
127.28100	93.84100	1.62719E+3	2.53207E+1	1.60187E+3	0.0	0.0	0.0	2.66534E+0	0.0	1.33267E+0	0.0	6.66336E+0
128.28300	94.84300	1.64219E+3	3.49688E+1	1.60722E+3	0.0	0.0	0.0	0.0	0.0	1.34496E+0	0.0	9.41469E+0

