Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 72849 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	5n	4n	9n	8n	6n	7n	2n
102.22300	68.78300	1.13036E+3	4.04826E+1	1.08988E+3	0.0	3.70845E+0	1.55165E-2	0.0	0.0	2.21110E+1	7.21518E+0	0.0
103.22500	69.78500	1.15605E+3	3.98948E+1	1.11615E+3	0.0	2.90404E+0	0.0	0.0	0.0	2.03759E+1	9.29927E+0	0.0
104.22700	70.78700	1.18112E+3	3.97063E+1	1.14141E+3	0.0	1.84831E+0	0.0	0.0	0.0	1.96505E+1	1.12520E+1	0.0
105.22900	71.78900	1.20557E+3	4.02139E+1	1.16536E+3	0.0	1.65489E+0	0.0	0.0	1.65489E-2	1.79887E+1	1.33219E+1	0.0
106.23100	72.79100	1.22942E+3	3.87818E+1	1.19064E+3	0.0	1.06321E+0	0.0	0.0	3.37526E-2	1.53406E+1	1.40411E+1	0.0
107.23300	73.79300	1.25276E+3	3.84517E+1	1.21431E+3	0.0	1.01460E+0	1.71967E-2	0.0	0.12037E+0	1.23988E+1	1.63712E+1	0.0
108.23600	74.79600	1.27568E+3	3.77720E+1	1.23791E+3	0.0	0.75298E+0	0.0	0.0	0.29769E+0	1.05944E+1	1.71261E+1	0.0
109.23800	75.79800	1.29813E+3	3.80090E+1	1.26013E+3	0.0	0.60586E+0	0.0	0.0	0.62368E+0	9.17705E+0	1.86214E+1	0.0
110.24000	76.80000	1.31993E+3	3.58389E+1	1.28409E+3	0.0	0.25366E+0	0.0	0.0	0.72475E+0	8.11720E+0	1.75933E+1	0.0
111.24200	77.80200	1.34113E+3	3.71692E+1	1.30396E+3	0.0	0.36819E+0	0.0	0.0	1.25186E+0	6.09361E+0	1.88147E+1	0.0
112.24400	78.80400	1.36204E+3	3.57668E+1	1.32627E+3	0.0	0.28045E+0	0.0	0.0	1.57052E+0	4.63679E+0	1.95755E+1	0.0
113.24600	79.80600	1.38264E+3	3.73136E+1	1.34532E+3	0.0	7.59179E-2	0.0	0.0	2.31550E+0	4.51712E+0	2.00423E+1	0.0
