Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 5060 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	2n	5n	4n	7n	6n	8n	9n	
64.14100	30.70100	5.86190E-2	5.56649E-2	2.95412E-3	4.26320E-2	7.08989E-3	0.0	2.31696E-5	0.0	0.0	0.0	0.0
65.14320	31.70320	0.29592E+0	0.27844E+0	1.74867E-2	0.21949E+0	2.91835E-2	0.0	1.34513E-3	0.0	0.0	0.0	0.0
66.14540	32.70540	1.19755E+0	1.11116E+0	8.63844E-2	0.87686E+0	8.61478E-2	0.0	2.24836E-2	0.0	0.0	0.0	0.0
67.14770	33.70770	3.48340E+0	3.15021E+0	0.33319E+0	2.47969E+0	0.17210E+0	0.0	0.10532E+0	0.0	0.0	0.0	0.0
68.14990	34.70990	7.59250E+0	6.58267E+0	1.00983E+0	4.99665E+0	0.31060E+0	0.0	0.36011E+0	0.0	0.0	0.0	0.0
69.15210	35.71210	1.37137E+1	1.15509E+1	2.16275E+0	8.37727E+0	0.48783E+0	0.0	0.96212E+0	0.0	0.0	0.0	0.0
70.15430	36.71430	2.19234E+1	1.79286E+1	3.99473E+0	1.24781E+1	0.55891E+0	0.0	2.10135E+0	0.0	0.0	0.0	0.0
71.15650	37.71650	3.24358E+1	2.52755E+1	7.16023E+0	1.63717E+1	0.67948E+0	0.0	4.02563E+0	0.0	0.0	0.0	0.0
72.15870	38.71870	4.57602E+1	3.38860E+1	1.18741E+1	2.02213E+1	0.63304E+0	0.0	6.86403E+0	0.0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	4.66933E+1	1.69222E+1	2.40758E+1	0.94291E+0	0.0	1.21448E+1	0.0	0.0	0.0	0.0
74.16320	40.72320	8.98311E+1	6.54205E+1	2.44106E+1	2.96301E+1	0.62136E+0	1.77532E-2	2.10375E+1	0.0	0.0	0.0	0.0
75.16540	41.72540	1.28153E+2	9.06694E+1	3.74834E+1	3.18609E+1	0.65849E+0	0.15196E+0	3.62678E+1	0.0	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	1.23376E+2	5.17382E+1	3.65801E+1	0.48450E+0	0.41529E+0	5.54758E+1	0.0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	1.58632E+2	6.58932E+1	3.84710E+1	0.66558E+0	1.90802E+0	7.76963E+1	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	1.85733E+2	8.77851E+1	3.71898E+1	0.32432E+0	3.45951E+0	9.45960E+1	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	2.12236E+2	1.09103E+2	3.78493E+1	0.31752E+0	6.47757E+0	1.09230E+2	0.0	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	2.37069E+2	1.30784E+2	3.42408E+1	0.58158E+0	9.95964E+0	1.24968E+2	0.0	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	2.61148E+2	1.51921E+2	3.27354E+1	0.32653E+0	1.52656E+1	1.37227E+2	0.0	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	2.78463E+2	1.78567E+2	3.07095E+1	0.54193E+0	2.39354E+1	1.34399E+2	0.0	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	2.85249E+2	2.14529E+2	2.53840E+1	0.29631E+0	2.73594E+1	1.30871E+2	0.0	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	2.92076E+2	2.49282E+2	2.18255E+1	0.10698E+0	3.61619E+1	1.28706E+2	0.0	0.0	0.0	0.0
85.18760	51.74760	5.81813E+2	2.94471E+2	2.87342E+2	1.50628E+1	0.57491E+0	4.34635E+1	1.21882E+2	0.0	0.0	0.0	0.0
86.18980	52.74980	6.21183E+2	2.97947E+2	3.23236E+2	1.42406E+1	0.24552E+0	5.53663E+1	1.04103E+2	0.0	0.24552E+0	0.0	0.0
87.19200	53.75200	6.59506E+2	3.03165E+2	3.56342E+2	9.38428E+0	0.26067E+0	5.83911E+1	1.02315E+2	0.0	0.26067E+0	0.0	0.0
88.19420	54.75420	6.96820E+2	2.95254E+2	4.01567E+2	9.08896E+0	0.0	6.30719E+1	9.72244E+1	0.0	0.13771E+0	0.0	0.0
89.19650	55.75650	7.33161E+2	2.93844E+2	4.39317E+2	6.23042E+0	0.14489E+0	7.80975E+1	8.09954E+1	0.0	1.01425E+0	0.0	0.0
90.19870	56.75870	7.68560E+2	2.83729E+2	4.84831E+2	5.01235E+0	0.0	7.76155E+1	7.01729E+1	0.0	1.82267E+0	0.0	0.0
91.20090	57.76090	8.03051E+2	2.81544E+2	5.21507E+2	4.44376E+0	0.15870E+0	8.26857E+1	5.98321E+1	0.0	2.22188E+0	0.0	0.0
92.20310	58.76310	8.36664E+2	2.88699E+2	5.47966E+2	3.30697E+0	0.0	8.58160E+1	5.25809E+1	0.0	3.96837E+0	0.0	0.0
93.20530	59.76530	8.69429E+2	2.81619E+2	5.87809E+2	2.23371E+0	0.0	9.14103E+1	4.27841E+1	0.0	3.78012E+0	0.0	0.0
94.20760	60.76760	9.01373E+2	2.85554E+2	6.15819E+2	1.95951E+0	0.0	8.76434E+1	3.97245E+1	0.0	6.76920E+0	0.0	0.0
95.20980	61.76980	9.32524E+2	2.90631E+2	6.41893E+2	1.29005E+0	0.0	9.17780E+1	3.09613E+1	0.0	1.05047E+1	0.0	0.0
96.21200	62.77200	9.62907E+2	2.76313E+2	6.86595E+2	0.38059E+0	0.19029E+0	8.14475E+1	2.85447E+1	0.0	1.02761E+1	0.0	0.0
97.21420	63.77420	9.92547E+2	2.82268E+2	7.10279E+2	1.17693E+0	0.0	8.16007E+1	2.31464E+1	0.0	1.31424E+1	0.0	0.0
98.21640	64.77640	1.02147E+3	2.78986E+2	7.42482E+2	1.00936E+0	0.0	8.45840E+1	1.29197E+1	0.0	1.61497E+1	0.0	0.0
99.21870	65.77870	1.04969E+3	2.75700E+2	7.73992E+2	0.62234E+0	0.0	7.69635E+1	1.51438E+1	0.0	2.19896E+1	0.0	0.0
100.22100	66.78100	1.07724E+3	2.75271E+2	8.01971E+2	0.0	0.0	7.11065E+1	1.27736E+1	0.85157E+0	2.34183E+1	0.0	0.0
101.22300	67.78300	1.10415E+3	2.76255E+2	8.27893E+2	0.21821E+0	0.0	6.37176E+1	8.29202E+0	0.0	3.09860E+1	0.0	0.0
102.22500	68.78500	1.13043E+3	2.72332E+2	8.58102E+2	0.0	0.0	6.27771E+1	1.02767E+1	0.44681E+0	3.21705E+1	0.0	0.0
103.22800	69.78800	1.15612E+3	2.77377E+2	8.78740E+2	0.0	0.0	5.87198E+1	6.62597E+0	0.45696E+0	3.15305E+1	0.0	0.0
104.23000	70.79000	1.18119E+3	2.80825E+2	9.00367E+2	0.70031E+0	0.0	4.85549E+1	5.13562E+0	3.50156E+0	3.61828E+1	0.0	0.0
105.23200	71.79200	1.20564E+3	2.75916E+2	9.29729E+2	0.0	0.0	3.95528E+1	7.38636E+0	4.05059E+0	3.81232E+1	0.0	0.0
106.23400	72.79400	1.22949E+3	2.75785E+2	9.53707E+2	0.0	0.0	3.93632E+1	2.91579E+0	3.15878E+0	4.08211E+1	0.0	0.0
107.23600	73.79600	1.25283E+3	2.60470E+2	9.92359E+2	0.0	0.0	3.19397E+1	2.22835E+0	3.71392E+0	3.86248E+1	0.0	0.0
108.23900	74.79900	1.27575E+3	2.44813E+2	1.03094E+3	0.0	0.0	3.05071E+1	1.26062E+0	4.28612E+0	3.37847E+1	0.0	0.0
109.24100	75.80100	1.29820E+3	2.66311E+2	1.03189E+3	0.0	0.0	2.56562E+1	2.56562E+0	8.97966E+0	3.43793E+1	0.0	0.0
110.24300	76.80300	1.32000E+3	2.60087E+2	1.05991E+3	0.0	0.0	2.26957E+1	1.30435E+0	6.78262E+0	3.54783E+1	0.0	0.0
111.24500	77.80500	1.34120E+3	2.66914E+2	1.07428E+3	0.0	0.0	1.88192E+1	1.32529E+0	8.74693E+0	3.07468E+1	0.26505E+0	0.0
112.24800	78.80800	1.36210E+3	2.54385E+2	1.10772E+3	0.0	0.0	1.99201E+1	1.88433E+0	1.23828E+1	3.28412E+1	0.26919E+0	0.0
113.25000	79.81000	1.38270E+3	2.58232E+2	1.12447E+3	0.0	0.0	1.53026E+1	0.81978E+0	1.01107E+1	3.30646E+1	0.0	0.0
114.25200	80.81200	1.40263E+3	2.71932E+2	1.13069E+3	0.0	0.0	1.13651E+1	0.55439E+0	1.05336E+1	3.76990E+1	0.55439E+0	0.0
115.25400	81.81400	1.42205E+3	2.65580E+2	1.15647E+3	0.0	0.0	1.46139E+1	0.84311E+0	1.60191E+1	2.89468E+1	0.28103E+0	0.0
116.25600	82.81600	1.44132E+3	2.61488E+2	1.17983E+3	0.0	0.0	1.02544E+1	0.56969E+0	1.39574E+1	3.47512E+1	0.28484E+0	0.0
117.25900	83.81900	1.46001E+3	2.55934E+2	1.20407E+3	0.0	0.0	8.65617E+0	0.86561E+0	1.78894E+1	2.25060E+1	1.15416E+0	0.0
118.26100	84.82100	1.47822E+3	2.51823E+2	1.22639E+3	0.0	0.0	7.30345E+0	0.58427E+0	1.40226E+1	2.80452E+1	1.16855E+0	0.0
119.26300	85.82300	1.49642E+3	2.56698E+2	1.23972E+3	0.0	0.0	8.57633E+0	0.59147E+0	1.62654E+1	2.45460E+1	0.88720E+0	0.0
120.26500	86.82500	1.51377E+3	2.67153E+2	1.24661E+3	0.0	0.0	5.68411E+0	0.0	1.85481E+1	2.48306E+1	1.19665E+0	0.0
121.26700	87.82700	1.53079E+3	2.58057E+2	1.27274E+3	0.0	0.0	6.35309E+0	0.0	1.93618E+1	2.14795E+1	0.90758E+0	0.0
122.27000	88.83000	1.54823E+3	2.59467E+2	1.28877E+3	0.0	0.0	3.97767E+0	0.30597E+0	2.01943E+1	1.74406E+1	0.91792E+0	0.0
123.27200	89.83200	1.56415E+3	2.67697E+2	1.29645E+3	0.0	0.0	6.18239E+0	0.0	1.79289E+1	1.91654E+1	0.61823E+0	0.0
124.27400	90.83400	1.58026E+3	2.44534E+2	1.33572E+3	0.0	0.0	2.49843E+0	0.0	1.71767E+1	1.43660E+1	3.74764E+0	0.0
125.27600	91.83600	1.59689E+3	2.54366E+2	1.34252E+3	0.0	0.0	2.84031E+0	0.31559E+0	2.20913E+1	1.51483E+1	3.47149E+0	0.0
126.27900	92.83900	1.61125E+3	2.46465E+2	1.36479E+3	0.0	0.0	1.59215E+0	0.0	1.71952E+1	1.40109E+1	2.22901E+0	0.0
127.28100	93.84100	1.62719E+3	2.44722E+2	1.38247E+3	0.0	0.0	1.28632E+0	0.0	2.09027E+1	1.12553E+1	1.60790E+0	0.0
128.28300	94.84300	1.64219E+3	2.52170E+2	1.39002E+3	0.0	0.0	1.29817E+0	0.32454E+0	1.94726E+1	9.73631E+0	5.19270E+0	0.32454E+0

