Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 159729 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	6n	5n	4n	2n	7n	8n	1n	
70.00023	31.88200	7.10181E-2	5.56114E-2	1.54036E-2	4.22955E-2	0.0	0.0	0.0	1.29526E-2	0.0	0.0	7.55848E-6
72.14310	33.86390	1.19131E+0	0.85074E+0	0.34059E+0	0.75874E+0	0.0	0.0	7.45832E-6	8.51517E-2	0.0	0.0	1.49166E-5
74.28597	35.84580	7.09787E+0	4.02016E+0	3.07772E+0	3.79207E+0	0.0	0.0	1.65750E-2	0.16783E+0	0.0	0.0	0.0
76.42883	37.82770	2.02869E+1	8.33452E+0	1.19525E+1	7.60981E+0	0.0	0.0	0.47767E+0	0.13246E+0	0.0	0.0	0.0
78.57170	39.80960	4.20902E+1	1.32551E+1	2.88342E+1	1.00271E+1	0.0	0.0	2.90019E+0	8.19516E-2	0.0	0.0	0.0
80.71457	41.79150	8.05608E+1	2.34250E+1	5.71364E+1	1.22539E+1	0.0	0.0	1.05845E+1	3.98444E-2	0.0	0.0	5.04359E-4
82.85743	43.77340	1.55916E+2	4.61796E+1	1.09740E+2	1.42739E+1	0.0	3.90451E-3	3.05333E+1	3.80690E-2	0.0	0.0	0.0
85.00030	45.75530	2.49415E+2	5.80219E+1	1.91392E+2	1.00825E+1	0.0	0.40442E+0	4.55222E+1	1.24919E-2	0.0	0.0	0.0
87.14306	47.73710	3.40422E+2	5.58430E+1	2.84561E+2	5.03827E+0	0.0	2.85800E+0	4.53551E+1	0.0	0.0	0.0	0.0
89.28592	49.71900	4.26632E+2	5.30162E+1	3.73616E+2	2.41723E+0	0.0	8.57917E+0	3.89455E+1	2.67098E-3	0.0	0.0	0.0
91.42879	51.70090	5.08230E+2	4.89206E+1	4.59313E+2	1.10091E+0	0.0	1.62528E+1	2.81051E+1	0.0	0.0	0.0	0.0
93.57166	53.68280	5.85533E+2	4.62257E+1	5.39307E+2	0.52054E+0	0.0	2.32448E+1	1.87872E+1	0.0	0.0	0.0	0.0
95.71452	55.66470	6.58838E+2	4.28600E+1	6.15958E+2	0.18148E+0	5.36214E-2	2.68726E+1	1.13471E+1	0.0	0.0	0.0	0.0
97.85739	57.64660	7.28417E+2	4.06280E+1	6.87777E+2	0.11400E+0	0.39218E+0	2.89262E+1	6.47567E+0	0.0	0.0	0.0	0.0
100.00026	59.62850	7.94520E+2	3.82415E+1	7.56288E+2	6.96384E-2	1.68624E+0	2.77758E+1	3.44710E+0	0.0	0.0	0.0	0.0
102.14312	61.61040	8.57372E+2	3.72892E+1	8.20094E+2	1.07353E-2	4.17604E+0	2.50187E+1	2.00751E+0	0.0	0.0	0.0	0.0
104.28599	63.59230	9.17184E+2	3.53600E+1	8.81819E+2	5.74213E-3	7.53941E+0	2.04362E+1	1.05081E+0	0.0	0.0	0.0	0.0
106.42886	65.57420	9.74141E+2	3.29086E+1	9.41241E+2	0.0	1.02519E+1	1.54602E+1	0.50619E+0	0.0	0.0	0.0	0.0
108.57161	67.55600	1.02840E+3	3.35506E+1	9.94831E+2	0.0	1.41581E+1	1.16600E+1	0.25753E+0	0.0	6.43841E-2	0.0	0.0
110.71459	69.53800	1.08018E+3	3.21020E+1	1.04810E+3	0.0	1.58921E+1	7.44560E+0	0.13525E+0	0.0	0.38546E+0	0.0	0.0
112.85756	71.52000	1.12966E+3	3.15286E+1	1.09811E+3	0.0	1.66908E+1	5.08503E+0	7.07237E-2	0.0	1.09622E+0	0.0	0.0
115.00054	73.50200	1.17668E+3	3.02036E+1	1.14646E+3	0.0	1.56617E+1	3.13823E+0	3.68336E-2	0.0	2.17318E+0	0.0	0.0
117.14351	75.48400	1.22203E+3	3.01666E+1	1.19187E+3	0.0	1.41231E+1	1.72140E+0	2.29520E-2	0.0	3.72588E+0	0.0	0.0
119.28649	77.46600	1.26477E+3	3.01526E+1	1.23457E+3	0.0	1.21624E+1	1.11647E+0	2.37547E-2	0.0	5.74863E+0	7.91823E-3	0.0
121.42838	79.44700	1.30648E+3	2.94783E+1	1.27698E+3	0.0	9.75795E+0	0.67888E+0	0.0	0.0	7.36140E+0	1.63587E-2	0.0
123.57136	81.42900	1.34566E+3	2.82310E+1	1.31744E+3	0.0	6.53752E+0	0.45493E+0	0.0	0.0	8.59313E+0	9.26710E-2	0.0
125.71433	83.41100	1.38317E+3	2.82818E+1	1.35489E+3	0.0	5.03115E+0	0.20782E+0	0.0	0.0	9.43016E+0	0.26844E+0	0.0
127.85730	85.39300	1.42025E+3	2.77864E+1	1.39244E+3	0.0	3.83229E+0	0.10670E+0	0.0	0.0	9.62075E+0	0.63130E+0	0.0
130.00028	87.37500	1.45481E+3	2.78887E+1	1.42695E+3	0.0	2.35897E+0	0.10929E+0	9.10799E-3	0.0	9.23550E+0	1.14761E+0	0.0
